composition,Eg (eV)
La2Se3,1.97
Tl3VS4,1.70
Na2Ti3O7,3.51
Pb0.995TeIn0.005,0.43
CdSe,1.85
In0.9As0.9Ga0.1P0.1,0.45
RbCaBO3,3.67
CuInS2,1.57
ZnO,3.20
Cu0.5Ga1.5Se2.5,1.76
KGaSe2,2.60
KIO3,3.83
Ga0.9Sb0.9Zn0.1Te0.1,1.00
PdTe2,1.80
Zn3B2O6,2.60
CuGaSe2,1.71
RbNb3Te2O12,3.49
Tl2S,1.00
ZnS,3.68
CdAs2,1.00
LiGaSe2,3.57
CdSe,1.86
GaTc,1.42
CdIn2S4,2.70
GaAs,1.52
AlSb,1.52
Pb0.85Sn0.15Te,0.15
Pb0.77Sn0.23Te,0.04
CdSiP2,2.20
K2Se,1.80
SbSI,1.93
In6Se7,0.34
Sb2Se3,1.15
InP,1.42
GaAs0.8P0.2,1.62
Bi24BO39,2.91
Cu2MgGeS4,2.36
BaGa2GeS6,3.26
K10Co4Sn4S17,1.31
PbS,0.31
K2.15Pb1.7Sb8.15Se15,0.60
Hg6.5As4CdCl6,2.05
PbS,0.38
CdS,2.66
CsAsSe2,2.00
TlCr5S5Se3,0.89
AgSbTe2,0.48
NaInTe2O6,4.00
CdS,2.58
Pb3Cl4TeO3,3.79
Na0.5Pb1.75GeS4,2.08
LiAsS2,1.60
Cs4Ag9Sb4S12,2.00
CuGa3Se5,1.89
RuP2,1.00
InSb,0.22
ZnO,3.26
AgGaS2,2.64
CaI2,5.98
GaAs0.99P0.01,1.37
PbTe,0.22
Nd2O3,4.40
GeO2,5.54
Hg0.77Cd0.23Te,0.21
RbPbPO4,4.35
Li2MoTeO6,3.50
CuIn3Te5,1.01
LiGd5P2O13,3.73
AgS,1.34
Li2HgSiS4,2.68
InN,2.21
CdSb,0.53
EuTb2Se4,2.00
As2S3,2.60
GaSe,2.07
CdGa2Se4,2.41
CdSiAs2,1.51
KBiCu2S3,1.29
PbSe,0.28
ZnIn2Se4,1.95
InSe,1.29
In2Bi3Se7I,1.38
SbSBr,2.22
Pb0.99TeIn0.01,0.53
K2MnSnSe4,1.70
IrSe2,0.90
VFeSb,0.46
LaGaS3,2.50
CsBi2,0.55
PbSnS3,0.90
GeSe,1.38
CaTe,4.30
ZnIn2Se4,2.05
RbNbSe2O7,4.10
HgIn2Te4,1.17
CdS0.55Se0.45,2.05
K2S,2.10
Zn0.99Hg0.01Se,2.60
Tl4CdI6,2.80
Cu0.1In1.9Se2.9,1.45
PbTe,0.33
BaSe,3.70
HgBr2,3.59
Cd3P2,0.53
Ga1.1Sb0.9Te0.3,0.70
Ag2O,1.60
Cd3Sb2,0.30
CsTm9Cd4Se18,2.16
Bi2Te0.4Se2.6,0.70
EuTe,2.06
NaYTe4O10,3.90
K2La2Ti3O10,3.05
Pb0.99Ge0.01Se,0.27
TlInTe2,0.62
Pb0.9Se0.9Ge0.1S0.1,0.32
K2Mo2Se2O11,3.30
ZnIn2S4,2.60
PbBr2,3.31
As2S5,2.48
LaCuOSe,2.83
NaH3Se2O6,4.90
IrSSe,1.20
GaAs,1.43
GeS,1.68
MgO,7.70
SbSI,1.95
GaN,3.50
Cu2ZnSiTe4,1.47
OsAs2,0.92
CdTeO3,3.91
Pb0.85Sn0.15Te,0.23
KIO3,4.02
Hg4As2UCl6,1.90
RhS3,1.50
AgNb2PS10,1.78
ZnS,3.56
Sm3S3BO3,2.50
GdScS3,2.10
In6S7,0.89
EuIn2Se4,1.31
Cs2AgBiBr6,2.19
Pb0.9Sn0.1Se,0.17
PbS,0.39
LiGaTe2,2.31
CdSiP2,2.40
OsSb2,0.21
CeTaN2O,1.90
Ag3AsS3,2.03
Ce4InSbSe9,1.69
CdS,2.66
YN,1.90
CdSnP2,1.16
TbClWO4,4.24
CdIn2Se4,1.30
LiAsSe2,1.10
RbCl,8.50
ZnAs2,0.92
CoSb2,0.20
SnS0.99Se0.01,1.11
BaPdI4O12,1.97
Fe2O3,2.20
Hg0.2Zn0.8Te,1.40
Ge0.88Si0.12,0.84
GaSe,2.10
NaSbP2S6,2.17
K2Ge3B2O10,5.38
Bi2S3,1.40
Pr2GeSe5,1.80
SrTiO3,3.40
Ag3SbS3,2.02
As2S3,3.00
As2S3,2.06
Rb2CuVS4,1.85
Rb4Mo5P2O22,3.51
InAs,0.43
Ag3SbS3,2.33
K2CuVS4,1.82
GaAs,1.52
Cu3TbSe3,0.16
Sm2Se3,2.30
AgInS2,1.90
Cs4Cu3Bi9S17,0.60
LiB3O5,8.00
Bi2V2Se4O16,2.20
Mg2GeSe4,2.02
CdIn2Se4,2.00
In0.99P0.99Ga0.01As0.01,1.30
CdS,2.59
NaBr,7.26
CdGeAs2,0.65
OsSb2,0.20
GaAs0.01Sb0.99,1.37
BiBr3,2.66
Ga0.99Al0.01P,2.27
CdSb,0.46
ReSe2,1.15
EuS,1.65
Pb2BO3Cl,3.99
Pb0.96TeIn0.04,0.37
CsInSe2,2.81
In0.6As0.6Ga0.4P0.4,1.25
Ga0.5As0.5Zn0.5Se0.5,1.52
Na2CsSb,0.80
TlInS2,2.20
ZnIn2Te4,1.87
Ag3AsSe3,2.20
K10Co4Sn4S17,1.80
OsPS,1.40
CuGa1.6In0.4S3.5,2.15
Cu3SmS3,1.82
ZnGeAs2,1.10
InSb0.01As0.99,0.17
Gd2Mo3O12,4.18
PbBr2,3.50
Ba2BiInS5,1.55
BiFeSe3O9,2.54
Cu2CdSnSe4,0.96
Li3ScN2,2.90
InBi2Se4Br,1.21
GeS2,3.54
Pb0.999TeIn0.001,0.30
CuSbS2,1.38
CaO,7.03
LiMoIO6,2.80
Hg0.9Cd0.1Se,1.32
Pb0.8Ge0.2Se,0.35
TlSbS2,1.42
Cs2Hg3I8,2.56
Ba2InSmSe5,2.22
SbSeBr,1.87
K2Al2B2O7,6.89
PbTe,0.21
CuInS2,1.54
AlSb,1.32
Zn0.9S0.9Ga0.1P0.1,2.80
Ag2O,1.40
Sb2Te3,0.30
CsHgInS3,2.30
Ge0.542Si0.458,2.24
CuInTe2,0.89
HgGa2Se4,1.95
Sr3Ti2O7,3.26
RuTe2,0.25
CdTe,1.53
CuInGeSe4,1.30
GeTe2,0.30
Zn3V2TeO10,2.96
Zn3As2,0.51
K2Hg3S1.03Se2.97,2.11
NaSbP2S6,2.25
InSb,0.24
YNiSb,0.18
NaAsSe2,1.57
PbI2,2.41
As2S3,2.10
RbMn4Ga5Te12,1.53
Cs2Hg5.75Cd0.25S7,1.66
NiO,4.00
CsI,6.40
Se2B2O7,4.64
Cd3P2,0.50
SiTe2,1.85
Cs2PdP2Se6,1.60
Cu2SnSe3,0.70
LaCuOTe,2.31
BaSi2,1.30
K2CeP2O8,2.46
GaAs0.6P0.4,1.91
Li2HgSnS4,2.32
NaCl,8.50
CdIn2S4,2.30
Pb0.95Ge0.05Te,0.34
InN,2.09
KI,5.92
As2Te3,1.62
BSb,2.60
CrO3,1.40
CsBiSe2,1.07
Mg3As2,2.20
CsCu2SbS3,1.63
AsI3,2.47
Hg2Cl2,3.80
Bi2Cu0.96Se3I,0.68
CdS0.01Se0.99,1.68
NaAsSe2,1.56
TlSe,0.96
Rb4Ag9Sb4S12,2.00
AgIn9Te14,1.50
Ba2SnSe4,1.90
SnS,1.26
BiOCl,3.46
ZnO,3.44
TiNiSb,0.42
ZnS,3.67
Cu0.01Ga1.99Se2.99,1.99
Cu0.5In1.5Se2.5,1.24
Na8Al8Si38,0.64
AgI,2.92
Cu0.3Ga1.7S2.7,2.60
Ge2Sb2Te5,0.50
CsPbPO4,4.39
KH3Se2O6,4.90
PdPAs,0.45
K2Sm2Ti3O10,3.26
Sn2WO5,2.60
Pb0.95Se0.95Sn0.05Se0.05,0.19
Ga2O3,4.40
SnSe2,1.62
Ga2O3,4.54
RbBiS2,1.20
NdB6,4.90
GaAs0.5P0.5,2.00
CsZn4In5Te12,1.61
NiP2,0.30
CsYbMnSe3,1.59
Ba4AgGa5S12,2.52
KInS2,3.00
Ag2HgI4,2.47
K10Zn4Sn4S17,3.10
Gd1.87Lu2.13Se6,1.56
Cs2SnP2Se6,2.06
PdPS,1.40
HgPS3,2.60
AgInSe2,1.20
CoTe1.88,0.20
SrIr4In2Ge4,0.25
NaSbF6,3.76
CdIn8Te13,1.02
Cu3GdTe3,0.52
RbI,6.26
Cu0.99In1.01Se2.01,1.08
In0.5Ga0.5P,1.90
Ge0.9Si0.1,0.80
EuO,1.12
TlGaSe2,1.65
NaCl,8.40
In4Se3,0.64
CsErZnSe3,2.63
InSe,1.30
NaGaGe3Se8,2.35
Bi3F3I4O13,3.70
Pb0.94Sn0.06Se,0.22
SnSe,0.90
Cu3HoSe3,0.16
RbInGeS4,3.10
Cu2Se,1.10
AgF,2.80
KSbSe2,1.65
Cu2Ga4Te7,1.18
Sm2Sc3,2.30
ZnO,3.25
CdSnAs2,0.41
Cd4As2I3,2.30
WSe2,1.35
Ba3B1.5S6Bi0.5,2.43
Hg2Br2,2.60
CdSb,0.42
GaN,3.48
BaSnO3,3.10
Cs8Ga8Si38,1.14
Ca5B3O9F,6.53
BiOI,1.89
PrO,0.55
In6Se7,0.86
SnS0.01Se0.99,0.95
TlBr,3.12
Hg6As4CdBr6,1.89
YB66,0.80
Bi3Ge3O10.5,3.30
CrO2,0.23
Pb0.98Se0.98Bi0.04Te0.06,0.28
Cs3Bi,0.70
V2O5,2.32
GdB6,3.60
La2S3,2.77
Zn3As2,0.93
Li4.5Mn0.5TeO6,1.97
Rb2Te,4.50
InSb0.4As0.6,0.10
Ce3MoO7,2.00
Pd3P2S8,2.12
BaTiO3,3.10
Cs2TiAg2S4,2.44
InP,1.42
Ga0.1As0.1Zn0.9Se0.9,2.34
Zn3As2,0.96
Ag0.4Cd0.2In2.4Te4,0.42
PbS,0.44
Y3GaS6,2.88
Sc2O3,6.20
Y6ZnSi2S14,2.38
Tl2Cu2SnS4,1.40
Ba3MgTa2O9,4.28
Na3ZnB5O10,3.20
LiBiS2,0.19
GaAs,1.51
KNbSe2O7,4.00
NiP2,0.73
ZnO,3.42
GaSe,2.12
CdGeAs2,1.10
InS,2.07
Nd2S3,2.65
HfO2,5.55
Rb2TiAg2S4,2.33
AgInSe2,1.24
La3InGe0.5S7,2.61
Ba2InYSe5,2.31
Pb0.8Se0.8Bi0.4Te0.6,0.22
Pb6Sb6Se17,0.80
Ba2GaBiSe5,2.21
GaSe,2.10
As2S3,2.80
As2S3,2.57
CdSe,1.87
K2Cu2Sn2Se6,1.04
ErN,3.00
As2Se3,1.70
TlCuCl3,2.98
Er2Mo3O12,0.96
Ba4Ge3Se9Cl2,1.89
CuPbBiSe3,0.07
Eu3As2,0.60
HgCl2,4.45
SrO,5.77
Zn3As2,1.00
TlSe,0.80
AgInO2,4.20
BaPdSe6,2.15
AgS,1.30
Cu3HoTe3,0.26
ZnTe,2.37
SbI3,2.49
K4Ba2Nb4S22,1.77
SnSi,0.59
CoSbS,0.11
InAs,0.41
Pb0.999TeTl0.001,0.30
Ge40.0Te5.3I8,0.80
AlSb,1.68
Ag3AsSe3,2.18
Cs2Cd3Te4,2.48
PdI2O6,1.31
Ba3BSbS6,2.62
Ba2GaNdSe5,2.18
ZnGeP2,2.00
K2CuGa3Se6,1.72
CdSiAs2,1.62
NaBiSe2,0.35
Bi2Te2.1Se0.9,0.29
Ta0.67Zr1.33O1.38N1.97,2.31
Cd8B5O15F,3.14
As2Te3,1.59
Hg0.08Zn0.92Te,1.90
TlHgInS3,1.74
KTiPO5,3.54
RbI,6.25
GaS,2.59
EuIn2Te4,1.22
As2S3,2.37
Tb2O3,3.00
LiGaS2,4.15
K2TiCu2S4,2.04
KAu5PS8,2.14
GaAs,1.51
Tl4Ta2S11,1.26
Er3SmSe6,2.00
Pb0.6Ge0.4Te,0.51
ZnS,3.70
CrTe2,0.17
CuCl,3.20
PbS,0.28
Bi2O3,2.86
Cu0.9Ga1.1Se2.1,1.59
CuFeTe2,0.16
NdF3,6.15
Pb0.85Se0.85Sn0.15Se0.15,0.22
Hg0.4Cd0.6Se,0.70
AgAsTe2,0.80
SbSi,1.90
GaAs,1.51
Hg4As2CdI4,1.45
Cu0.9In1.1Se2.1,1.06
Cs4BiAs3Se7,1.02
SrMgSnSe4,2.00
Pb2BO4H,3.76
K4Nb2S11,1.96
LiAsSe2,1.11
K2Sn3Sb2S10,2.30
NaSbS2,1.48
CuCl,3.28
LiCa3As2H,1.40
PbO2,1.40
Pb0.8Sn0.2Se,0.06
La2Se3,1.65
ZnO,3.45
CdS,2.42
GeSn,0.80
Bi1.6Te3Sb0.4,0.16
GdN,1.54
AgInS2,2.00
Lu2CrS4,1.75
MnF2,9.90
CuGa2Se4,0.63
La8Sb2S15,2.30
Zn3Sb2,0.22
NaCl,8.60
Ag5IO6,1.40
UY4O3S5,1.95
Ta0.67Zr1.33O0.42N2.61,1.93
InSe,1.26
GeS,1.69
Tl2GeTe3,0.37
ZnGeP2,2.10
Zn2LiGaO4,4.00
BiIO3F2,3.97
TlSbTe3,0.38
Ba3B1.5S6Sb0.5,3.01
GeSe2O6,5.31
Pb0.87Sn0.13Se,0.02
Cu3AsSe4,0.65
AgTe,0.73
Cd3Bi2,0.20
RbBi3Se4Te,0.80
DyAs,1.00
Bi25TiO39,3.10
Rb2TeBr6,2.14
In2Se,0.69
GeAs,1.45
YVSeO10,2.70
InSb,0.24
KCu4AsS4,1.90
K2ZnSn3S8,2.30
B2O3,4.90
As2S3,2.21
PdS2,0.75
GaS,2.59
AgScO2,3.80
ZnIn2S4,2.86
CdSiP2,2.16
CdGeAs2,0.53
Gd2Mo3O12,4.06
PbS,0.42
AgGaTe2,1.10
ScTiNbO6,3.58
La3Sb0.33SiS7,1.92
Cd4Sb2I3,1.83
Ga2GeTe3,0.85
Pb0.99Sn0.01Se,0.16
GaAs0.15Sb0.85,1.10
LiInS2,3.57
Cu0.7In1.3Se2.3,1.10
PbSe,0.15
Ga0.95Sb0.95Cd0.05Te0.05,0.74
Cu0.3In1.7Se2.7,1.21
Cu0.15Ga1.85Se2.85,1.92
GeO2,5.56
CsYHgSe3,2.54
Pr2Se3,1.80
SiSe2,1.72
Pb2N2SeO9,3.76
Pb0.94Sn0.06Se,0.17
Tl2BiP2S7,1.80
SnS0.4Se0.6,0.98
GeS,1.74
Pb0.999Se0.999Sn0.001Se0.001,0.32
In2Se2O7,2.97
NH6PO4,6.81
In2Se3,1.00
SiSe2,1.73
NaInSnS4,2.40
Cs2TeBr6,2.12
K0.6Cs0.4PSe6,2.10
Ca2Ge,1.00
Ba2ZnTe3,2.10
Zn2In2S5,2.70
CuGaO2,1.47
Ni2InVO6,1.92
PrB6,4.90
Rb2Mo3Se3O16,3.10
CdS,2.43
RbInS2,3.30
Ga1.001Sb0.999Se0.003,0.71
BaGa4S7,3.54
CuIn3Te5,1.20
LiMgAs,0.70
InSb,0.18
Ba2ZnV2O8,3.48
TlSe,0.57
Bi2SI2O11,3.74
Pb0.99Ge0.01Te,0.32
ZrSe3,1.25
ZnTe,2.26
ZnSb,1.05
Rb2AgPS4,2.60
BaCu2SnSe4,0.48
BiPO4,3.85
Na2Se,2.00
InAs,0.35
La4FeSb2S10,1.00
GdSb2BO8,3.48
SbSeI,1.68
SiSn,0.59
Ba2Ga8SiS16,3.40
PbS,0.37
RbI,6.37
Cu3AsS4,1.48
Ag3SbS3,2.10
K2Cu2Sn2S6,1.47
Sb2Te3,0.35
Zn0.8Hg0.2Se,1.40
EuO,1.12
Ag2V2I4O16,2.24
GaAs0.1P0.9G1128,1.22
HgO,2.48
NaNb2PS10,1.72
CuGa3Se5,1.75
Zn2MoTeO7,4.10
TlInS2,2.25
ScTa2O5N,2.67
AgInS2,1.88
CdAs2,1.13
Ag0.25Cd0.5In2.25Te4,0.39
In6S7,0.95
TbSb2BO8,3.53
TlPrSe2,1.18
BaGa2SnSe6,1.60
GeSe2,2.30
ZnO,3.44
ZnTe,2.10
In2Se3,1.38
Ag2SnSe3,0.84
AgGaSe2,1.30
CdSnAs2,0.31
InSb0.5As0.5,0.10
B4C,1.64
GdH2NO5,4.84
Cu2GeSe3,0.85
TlCl,3.23
GaAs0.7Sb0.3,0.67
PbI2,2.55
ZnO,3.44
GaN,3.48
PdO,0.80
Tl2TeS3,1.60
AgFeTe2,0.58
GeS2,3.43
ZnS,3.82
CaPr2S4,2.90
Hg0.1Cd0.9Se,0.35
InP,1.42
InSb,0.23
Ba2BiGaS5,2.38
Cd3As2,0.19
Bi24VO41,3.25
V2O4,0.66
SnS,1.30
Pr1.29Lu0.71S3,1.38
AgAsSe2,1.40
TlInSe2,1.10
InAs,0.33
TaGaSe2,2.12
AlN,6.03
Sr8.007Ge2.043Bi7.949Se24,0.74
Zr3O,0.20
In0.4As0.4Ga0.6P0.6,1.85
TlCr5S8,1.01
Cu3TbTe3,0.46
Na2CdGe2S6,2.57
La2Ga2GeS8,2.78
CsLuCoS3,1.18
La2MoO5,0.49
Ba7B3O9F5,4.94
Ag2GeSe3,0.90
In2Se,0.65
Ge0.4Si0.6,0.94
CdIn2Te4,1.17
BaTaO2N,1.78
SnS0.25Se0.75,0.99
Ag3AsS3,1.98
Ge0.838Si0.162,1.32
DyPO4,6.38
HoIn3S6,1.23
Ag2S,1.23
PbTe,0.36
Hg0.99Cd0.01Se,1.72
PbTe0.99Se0.01,0.30
GaBi,0.10
PrTe2,1.29
CsInGeSe4,2.32
ZnSe,2.82
RbNb4Br11,0.46
CuP2,1.45
SnSe,0.95
PbSe0.95S0.05,0.26
CsI,6.37
K3Ti2P5S18,1.61
Ba3FeS4Br,1.65
CdP4,1.15
PrIn3S6,1.14
SiAs2,0.88
ZnIn2Te4,1.80
Eu3Sb4Se9,1.08
MgGeN2,4.20
Ca4Bi6O13,2.76
PrCuOS,3.03
Cu0.05Ga1.95S2.95,2.64
H6PtI6O20,2.12
TlBr,3.30
Hg0.77Cd0.23Te,0.12
PbTe,0.30
Cu2WSe4,1.65
SnTe,0.30
Li2In2SiSe6,2.54
In0.3P0.3Ga0.7As0.7,1.67
GaAs0.2P0.8,2.20
RbCd4In5Se12,1.57
Sm3Te4,0.51
YbSb4Te7,0.22
CsLiB6O10,6.89
DyN,2.10
Li6Mo6Se6O33,3.30
Zn0.85S0.85Ga0.15P0.15,2.40
K8Ce2I18O53,2.34
Rb3Al3Ge7S20,3.10
Ba3Er2P4S16,3.30
Li2ZnGeSe4,1.86
K2Te,1.90
CaO,6.93
PbBiO2Br,2.30
Tl2GeTe3,0.36
Bi12TiO20,3.09
WSe2,1.57
PrLuSe3,1.56
BP,4.20
KSb5S8,1.82
Ga1.02Sb0.98Te0.06,0.68
VO2,0.66
GdTe,1.30
Pb0.59Ge0.41Te,0.49
ZnSe,2.83
CuZn2InTe4,1.05
Cs2Al2B2O7,4.13
Ba8Hg4S5Se7,1.98
GaAs,1.44
Pb0.9Se0.9Sn0.1Se0.1,0.24
CdSb,0.47
La2O2ZnSe2,3.40
AgFeSe2,0.23
CuBr,3.07
GaSe,2.12
TlPSe2,0.50
In0.97As0.97Cd0.03Te0.03,0.71
WO3,2.70
Hg2Cl2,3.50
GaAs,1.51
Sb2S3,1.69
K2Ag3Sb3S7,2.20
AgGaS2,2.73
InS,2.45
Bi1.98Te3Sb0.02,0.14
K2ReH9,5.71
TlPSe2,0.60
AgGaSe2,1.66
Eu3Se4,0.58
Ge0.999Si0.001,0.65
Hg2Cu3Te6O16,2.56
Ag8SnSe6,0.71
MgO,7.67
Bi2AsO4Cl,3.43
Cs2TeI6,1.50
Ag2GeS3,1.98
ZnSnAs2,0.90
Cd4YB3O10,3.78
LiZnBO3,3.10
OsP4,0.40
AgSbS2,1.88
TiTe2,1.00
Pb2SbS2I3,2.00
Cs3Bi2Br9,2.50
La3Mg0.5SnS14,1.71
ZnIn2S4,2.85
CdS,2.60
TlBiTe2,0.12
Sc2O3,6.00
InSe,1.12
GaSb,0.73
BaGa2SiSe6,2.88
Ba2InGdSe5,2.24
Cu3Ta7O19,2.47
GaP,2.77
PbTe,0.19
PbSe,0.14
K2CdP2Se6,2.58
K1.83Cd1.83Bi2.17S6,1.37
In4Te3,0.42
Ag3AsSe3,1.86
CsCd4In5Te12,1.42
Ce4Ge3S12,2.30
Tl2Hg3S4,2.05
CuGa3Te5,1.09
CuPbBiS3,0.12
KBi3S5,1.21
CsCaBO3,4.20
Hg0.65Cd0.35Te,0.28
TlGaTe2,1.80
Cu3GdS3,1.62
Cu3TmTe3,0.14
LiBi3O4Cl2,3.35
As2Se3,1.81
TlCl,3.46
KSi2P3,1.72
NaNO2,3.13
NaBiS2,0.42
AgSbSe2,0.67
La2YbCuS5,1.45
In0.1P0.1Ga0.9As0.9,1.60
CdSe,1.82
Mg2Sn,0.14
Ga0.28In0.72As,0.55
ZnAs2,0.90
Ag7AsSe6,1.00
Ag2CdGeS4,2.32
InP,1.28
AgLi0.33Ti0.67O2,2.70
Hg0.06Zn0.94Te,2.03
YbGa2Se4,1.80
Ca2SmTaO6,3.45
Pb0.8Sn0.2Te,0.11
Ba4B11O20F,7.10
GaSe,2.11
In2O3,2.80
CrSb2,0.14
ZnIn2S4,2.50
Na2Nb4Se4O19,3.56
Cd3As2,0.12
Bi2Te1.2Se1.8,0.28
Cs2B4SiO9,6.53
Cs10Cd4Sn4S17,3.16
TlInS2,2.52
KIO3,3.71
Rb2Hg3Ge2S8,2.80
Rb2TeI6,1.40
SbSI,1.96
GeSi,0.88
Cs5P5Se12,2.17
NaAsS2,2.23
Ho2GeS5,2.50
La2Se3,1.70
TaGaS2,3.40
MnP4,0.28
CdSe,1.82
K10Zn4Ge4S17,3.34
YbS,0.98
Tl2Au2Sn2Se6,1.20
Cs2Bi2Cd2S5,1.70
LiInI4O12,4.27
TeSe3,1.87
Cr3Se4,1.59
Ga0.65Al0.35As,2.00
K2Bi8Se13,0.47
Zn6S5Cl2,2.71
CuInSe2,0.80
CuInTe2,0.88
CsCl,7.80
Pb0.99Sn0.01Se,0.22
Pb0.999Se0.999Bi0.002Te0.003,0.79
Ag2O,1.57
Pb3B3O10N,3.64
MnVTe2O8,1.90
Cd0.99Te0.99Al0.01Sb0.01,1.60
KTbSe4,1.65
GaAs,1.42
ZnAs2,1.20
SrBiO2Cl,3.52
FeSi2,1.00
Ho2Mo3O12,1.07
K2SmP2S7,2.59
K10Zn4Sn4S17,3.20
CdS,2.58
InSb,0.23
CdS,2.52
AlSb,1.70
Li0.2Na0.8AsSe2,1.57
Mg2Sn,0.35
Ba5V3O12F,3.85
LiI,6.00
NaCd4P3,1.10
AlSb,2.22
AlSb,1.49
EuSb2Se4,0.95
Pb0.93TeIn0.07,0.32
ZnMoSb2O7,3.30
AsSeI,1.76
InS,2.06
Pb0.999Sn0.001Te,0.21
In0.94As0.94Cd0.06Te0.06,0.68
TlN,1.40
NaInI4O12,4.25
ZnSb,1.09
AgAlO2,3.60
KF,10.30
PbSe0.9S0.1,0.27
AgAlTe2,1.90
Ba2AgInS4,2.32
Sb2Se3,1.00
PbTe,0.29
PtPAs,0.40
Tl2CeP2S7,2.40
LiPbSb3S6,1.60
Cd2V2Te2O11,2.48
TlCl,3.80
As2S3,2.45
SnGa4Se7,2.55
Ho2O3,5.42
Cd3P2,0.59
Ba2GaSbTe5,1.66
Hg0.7Cd0.3Se,1.10
PbSe,0.26
PbS,0.60
PbI2,2.54
GaAs,1.48
InP,1.41
In0.9Al0.1P,1.50
Na3Sn2F6Cl,3.88
SnS,1.22
CdS,2.53
ZnO,3.35
K5In3P6Se19,2.20
SnI4,2.38
H2Ti6O13,3.40
Li2B12Si2,2.27
PbSb2Se4,1.80
PdS,0.50
Cd0.9Te0.9Al0.1Sb0.1,1.36
KAuI4O12,2.75
CsCl,8.10
Ba3Tb2P4S16,3.37
KBiSiS4,2.25
Ba4Si3Se9Cl2,1.76
Al2Te3,2.20
FeIn2Se4,1.15
CsNbSe2O7,4.20
FeSc2,0.77
Ga0.99Sb0.99Cd0.01Te0.01,0.72
Cs3Nb2AsSe11,1.35
K3Ta2AsS11,2.21
GaSb,0.81
CuGaGeSe4,1.38
Ba5Ga6SnP12,1.21
DyIn3S6,1.22
InP,1.41
Pb4V2Se6O21,3.37
EuGa2S4,2.25
PbMnIn2S5,1.45
ZnTe,2.28
PbCdP4O12,4.85
Mg2Pb,0.15
Na2CdSnS4,2.52
LiCsCO3,6.19
ThOSe,1.65
PbTe,0.19
SbI3,2.22
CdIn2S4,2.00
