composition,Eg (eV)
HgSe,0.24
Tl3CuNb2Se12,0.80
YH2NO5,4.83
Mg3P2,1.40
Zn0.4Hg0.6Se,0.42
InSb,0.27
Rb3Sb2I9,1.94
In0.6Al0.4P,2.12
Ba4Sb3S8Cl,2.09
Li2CdGe,0.99
ZnSiP2,2.07
Bi2O3,2.91
CdTe,1.45
In6Se7,0.72
BaTiO3,3.04
NaInS2,1.90
Bi14.7In11.3S38,1.45
CdGa2Se4,2.48
Bi2S3,1.45
Cs2CdP2Se6,2.63
EuTe,1.96
Pb0.93TeTl0.07,0.54
ErBiW2O9,3.26
Cu2Se,1.29
LiAsSe2,1.50
LiGaGe2Se6,2.64
Eu3In2P4,0.45
GdAs,0.63
CsGaS3,3.00
AsNMg3,1.33
Ba2InErSe5,2.29
CsPSe6,1.90
Sb2Se3,1.11
BiSCl,1.89
Hg0.63Cd0.37Te,0.35
CdS0.8Se0.2,2.23
ZnTe,2.35
Gd2S3,2.55
Na2TeS3,2.35
AgPbBiS3,1.20
Hg4As2ZrCl6,2.48
BaBiO2Cl,3.71
CdSnAs2,0.40
CdGeAs2,0.85
RbYbZnSe3,2.07
CdGeAs2,0.72
Cd4As2Br3,1.78
HgIn2Te4,0.86
NaInTe2,1.60
FePS,0.25
PtSb2,0.06
Tm2O3,4.53
PtAs2,0.80
K1.46Sn3.09Bi7.45Se15,0.39
CdSiAs2,1.52
NaBa2Cu3S5,0.45
GaN,3.39
RuS2,1.80
KEuAsS4,1.89
Pb0.61Ge0.39Te,0.56
TlSe,0.65
Cu3YbSe3,0.20
Pb0.96TeTl0.04,0.57
Pr2Se3,1.90
Li2FeSnS4,1.86
InAs,0.47
PbGa2Se4,1.83
Mg2Pb,0.04
Ba2B6O11,5.17
As2B12,1.51
TlAsS2,2.22
InSe,1.25
PbO2,1.50
SeS,1.90
Pb0.99TeGa0.01,0.42
BaRh2Ge4Se6,1.09
CsGeI3,1.60
RbBiS2,1.36
Rb1.45Pb3.1Sb7.45Se15,0.45
SmTe,0.62
MgSiN2,4.05
CoSb3,0.50
MgTe,3.60
Ba2InDySe5,2.27
Ba4AgInSe6,2.41
KH3Se2O6,4.88
ZnTe,2.30
PdPSe,0.15
B2O3,4.89
BiFSeO3,3.83
KCl,8.50
Pb0.9Sn0.1Te,0.16
ZnIn2Se4,1.82
Ag2ZnSiS4,3.28
Cd3As2,0.43
Bi2Te3,0.25
CdSe,1.84
MoO3,3.66
Zn2In2S5,2.65
K8Zr6Se30,1.81
PbO2,1.70
Si2Te3,2.18
InP,1.35
LaVI5O16,3.58
KBiS2,0.90
CdSe,1.70
BAs,1.45
CdSb2Se3Br2,1.40
La2O2FeSe2,0.70
BaZn2As2,0.23
ZnSnAs2,0.67
YbSb2S4,1.12
HgTe,0.15
CdTe,1.56
AgCl,5.13
CuInSe2,1.01
TlSbSe2,0.82
GeS,1.59
Th2GeSe2,1.98
Rb2Cu2Sb2S5,1.60
CuGaS2,2.43
Ba1.88Ta15O32,0.13
Cs6Na2Zn4Ge42,0.30
Cu0.35Ga1.65S2.65,2.53
Li4.5Ga0.5TeO6,4.99
KGaSnSe4,1.73
AlN,6.09
Cu0.95In1.05Se2.05,1.07
Cu2Te,1.08
CdIn2Se4,1.45
Cu2SnSe3,0.83
Hg0.8Zn0.2Te,0.08
BaSe,3.60
Zn0.3S0.3Ga0.7P0.7,2.30
TeI4,1.10
KSbS2O8,4.64
CdS0.99Se0.01,2.40
RbCl,8.29
Ba2InNdTe5,1.37
Ba2GaSmSe5,2.27
ZnI2,4.53
K2CuNbSe4,2.14
InBi2S4Br,1.50
Ga0.01P0.01Zn0.99Se0.99,2.60
TiS3,0.90
ZnSe,2.80
Hg2I2Te2,1.85
SbSI,1.92
Ba3Ta2Se9,1.60
ZnSnAs2,0.66
Cs2MgSn3Se8,1.92
Ce10OSe14,1.93
K2P2Se6,2.08
EuSb4Te7,0.54
CsAgSb4S7,2.04
WSe2,1.49
TlSe,0.79
Ca3Sb2,1.40
TlBr,3.07
Na8CsB21O36,4.67
Cu2P2S6,2.20
Ag3AsS3,2.20
SrTe,3.77
TlBr,2.64
ZrNiSb,0.55
Mg2Sn,0.34
PtS2,0.75
CeFMoO4,2.52
InSb,0.24
Rh0.67S2,1.50
Nd4Ge3S12,2.62
GdB66,1.27
InP,1.42
CuNb3O8,1.47
BaGa2SnSe6,1.95
Pb0.92Sn0.08Te,0.13
Cs2HgI2Cl2,2.15
PbTe,0.25
ZnS,3.66
Ge0.891Si0.109,1.13
Ba2GaSbSe5,2.51
La4InSbSe9,1.76
AgAlSe2,2.55
Pb0.999Sn0.001Te,0.23
BaF2,9.20
InAs,0.42
Ge0.8Si0.2,0.86
GaSe,2.13
InS,1.80
Ga0.8In0.2As,1.07
YbS,1.33
TlCu3Lu2Se5,2.12
GaTe,1.67
LiF,11.70
Cu0.99Ga1.01Se2.01,1.59
Gd3.04Sc0.96S6,1.50
Pb0.999TeGa0.001,0.30
CdTe,1.58
CdSiP2,2.25
Ba2ScTaO6,4.19
ZnSnSb2,0.40
La2MnNiO6,1.20
ZnIn2S4,2.70
TlPS2,1.60
Mg2Sn,0.31
Li2ZnSnSe4,1.87
ZnAs2,1.30
TlInSe2,1.14
ZnSnSb2,0.30
InP,1.35
RbH3Se2O6,4.84
Pb0.83Sn0.17Se,0.04
CdTe,1.60
Ga2Te3,1.32
Ba2InErTe5,1.35
CuI,3.12
SnS0.8Se0.2,1.07
Ga2GeTe3,0.84
Ge0.92Si0.08,0.72
Ge0.93Si0.07,1.04
Er2Se3,1.66
Bi2I4O13,3.30
NaGe3P3,2.06
K2ZnSn2Se6,1.71
PtSe2,0.10
GeS,1.74
Cu2ZnSnTe4,1.39
AlVTe2O8,2.90
PtP2,0.80
AgAlTe2,1.80
Bi3In4S10,1.42
NaI,6.00
AlP,2.51
Ag2.7Ba6Sn4.3S16,1.38
SnGeS3,2.23
CaSm2S4,2.05
K8Al8Si38,1.40
BiSI,1.56
Ce2YbCuS5,1.37
Cu2O,2.59
PbCl2,3.82
CdGa2Se4,2.20
BaClBF4,6.89
Sn2S,0.95
CdSb,0.43
Pb0.995TeTl0.005,0.48
GaAs0.99Sb0.01,0.70
Cs2Te,3.50
Th2Se5,0.37
Fe2TiSi,0.40
Hg0.1Zn0.9Te,1.74
PbGeS3,2.40
Na2KSb,1.00
Mn2.04Gd1.47In0.49S5,1.75
KAg2SbS4,2.20
TlCl,3.23
InSe,1.29
Cs2CuNbSe4,2.19
ZnIn2S4,2.90
GaSb,0.67
CuAlSe2,2.50
La3CuGaSe7,1.36
Cu2CdGeSe4,1.20
Ba8Al10B12O41,3.10
Bi12SiO20,3.20
Ga2Te3O9,4.15
HfS3,2.80
Pb0.95Sn0.05Se,0.12
InP,1.35
KInSe2,2.68
ZnO,3.30
BiZn2VO6,2.40
Hg0.3Cd0.7Se,0.55
TaGaSe2,2.03
KFe2BiO5,1.76
Ga2Te3,1.33
Cs2Cd3B16O28,4.76
TlInTe2,0.68
CuCl,3.22
HfS2,2.90
Fe4I3O24H15,2.30
Cu0.35Ga1.65Se2.65,1.81
KIO3,3.87
K2AgSnSe4,1.80
SmTe,0.35
SmB66,0.80
Ag3AsSe3,2.10
Pr2Te3,1.16
RbCl,8.30
CdSe,1.75
CsSbS2,2.80
GaAs,1.40
CdSe,1.74
Li6Al2Te8O22,3.63
Rb3Bi2Br9,2.62
SnS,1.25
Pr10OSe14,1.89
EuS,1.65
CuInSe2,0.92
CuGaSe2,1.68
Ag2SnS3,1.37
BaTe,3.40
Pb2B3O7.5H2,4.42
YbSb2Te4,0.34
Cs2Zn3Se4O12,4.30
CeScO3,3.20
SnSe,0.95
Ag3AsS3,2.10
Cu3AsSe4,0.88
AlSb,1.80
ZnTe,2.39
Tl2TeI6,1.47
AlB12,2.20
Zn0.9Hg0.1Se,1.75
ZnIn2S4,2.65
Cd4As2Br3,1.93
PbBr2,3.20
AlB12,1.90
Rh0.67Se2,0.70
Ge0.001Si0.999,1.09
Ga0.95Sb0.95Zn0.05Te0.05,0.85
LiPbB9O15,4.75
La2V2IO9,3.63
CuCl,3.40
Sn2SbS2I3,1.50
Cd3P2,0.56
Ba2B6O9(OH)4,6.53
Nd2Se3,1.70
Nd4InSbSe9,1.57
Sm2O3,5.00
ZnS,3.58
TlInSe2,1.20
YbTe,1.80
RbZn4In5Se12,1.76
TlInSe2,1.40
Ga2Se2O7,4.61
DyTe1.7,0.35
Na2CdGe2S6,3.21
NH6PO4,6.80
ZnS,3.70
AgGaS2,2.73
InSb2Se4Br,1.35
CdTeO3,3.55
Cu2GeS3,0.53
Sm4InSbS9,2.13
Cs4Pb4Ge5S16,1.95
HgGa2S4,2.79
Cd3As2,0.17
CsSmCdSe3,2.47
CaF2,9.92
ErN,2.40
Hg0.25Zn0.75Te,1.25
RbMoPO6,2.96
RuPS,1.40
CuCl,3.20
NaI,5.93
InAs,0.41
GaSb,0.81
SrSeO4,4.75
SnSe,0.90
TlCr5Se8,0.67
TlInGeS4,2.30
La3Sb0.33SiSe7,1.75
CuInTe2,0.80
K2Cu2ThS4,2.17
K2Gd2Ti3O10,3.30
Hg0.8Cd0.2Se,1.10
As2Se3,1.80
K2ZnSn3S8,2.55
InP,1.29
CuIn3S5,1.20
ZnO,3.48
Ga2S3,2.84
GaSb,0.80
CdP4,1.00
TlCr5SSe7,0.71
GaSe,2.01
Sn2BiS2I3,0.90
Cu0.35In1.65Se2.65,1.19
Ba4Ge3S9Cl2,2.91
CdSe,1.82
BiSeBr,1.96
Zn0.85S0.85Ga0.15P0.15,2.90
NiS2,0.64
Na8Eu2Ge4S12,2.15
CaGd2S4,2.55
Ho2S3,0.50
K3Cu3Th2S7,2.49
CuGaS2,2.50
K4Nb2S11,2.35
MoTe2,1.20
IrSe2,1.00
CdS,2.39
K2ZnSn3S8,2.15
Ga2Se3,2.05
TlSe,0.74
Ir2Sn3Se3,0.43
Zn0.5Cd0.5Se,3.00
CuZr1.86S4,1.26
ZnS,3.63
Hg0.8Cd0.2Se,1.30
BaHgSe2,1.56
La3GaGe0.5S7,2.54
CeF3,4.85
Cu3GdSe3,0.14
Ce2O2FeSe2,0.64
Dy4GaSbS9,2.58
GaSe,2.12
Ru2Si3,0.70
CdP2,2.13
AgIn3Te5,0.68
CdSb,0.48
InP2S4,2.75
Zn0.55S0.55Ga0.45P0.45,2.40
PbSeO4,4.30
ZnSnP2,1.45
Ba3SnSb2Se8,0.97
LiAlB14,2.05
Ga0.2In0.8As,0.50
AgS,1.40
Tb2Mo3O12,1.41
LaB6,4.10
NaAlGeS4,3.60
CdSb,0.54
Ag2NbP2S8,2.02
LaGaO3,4.40
Na0.5Pb1.75GeSe4,1.60
As2S3,2.50
InP,1.25
CuGaS2,2.38
InAs,0.36
CaO,7.00
Ba4CuGa5S12,2.82
CsCdBO3,2.58
Ga0.3P0.3Zn0.7Se0.7,2.15
SmSnTe2,0.52
ThO2,3.50
BaTiO3,2.96
RuAsS,1.20
SbSI,1.85
CeIn3S6,1.11
NiP2,0.50
AgTlSe2,0.72
GaS,2.50
CdS,2.41
CuCd2InTe4,0.85
GeAs2,1.10
GeSe,1.10
KBiSe2,0.61
CdSe,1.83
AgSbS2,1.99
GeS,1.74
SrSe,4.42
PdP2,0.65
Ba4Ga4SnSe12,2.16
Na2GeIn2Se6,2.47
Ba2In2S5,2.47
BaCuSbS3,2.00
Na2ZnGe2S6,3.25
InSe,1.17
Sb2S3,1.67
GeSe2,2.49
K3Cr2P3S12,1.35
CdSe,1.90
YClMoO4,3.82
ReSi2,0.12
As2S3,2.56
Ag2MoI4O14,3.06
Cd3As2,0.53
HoN,1.88
GeS,1.77
CdSnAs2,0.50
In0.99As0.99Ga0.01P0.01,0.30
SmP,1.09
CaF2,10.00
CuCl,3.21
Zn3P2S8,3.07
GaP,2.75
Ga0.58As0.58Zn0.42Se0.42,1.67
CsYCdSe3,2.58
In2GeTe3,0.70
PdPS,1.38
Na2Ga2SnS6,2.20
Fe2P3B1O12,3.52
ReO3,2.30
Pb2BiS2I3,1.60
Li3AlP2,2.75
Cs2Sn3Sb2S10,2.34
TlHg6S4Br5,3.03
Rb3Sb,1.00
Ce2YbCuSe5,1.05
La3CuGeSe7,2.00
RbYTe2O6,3.60
CuInTe2,0.95
LiIO3,4.37
CsCd4Ga5Se12,2.21
In0.5P0.5Ga0.5As0.5,1.75
ZnS,3.64
Cd6P7,0.85
Ag2S,1.03
Sb2Se3,1.10
HgS,2.10
CdGa2Se4,2.25
Cs5BiP4Se12,1.85
CdIO3Cl,4.30
Eu4Te7,0.31
V3As2O9,0.76
GdIn3S6,1.13
In0.8P0.8Ga0.2As0.2,1.40
Li8GeN4,2.61
NaNbSe2O7,3.65
CdS,2.52
Pb0.85Sn0.15Te,0.10
AlSb,1.60
TlBr,3.02
AgSbSe2,0.62
BiI3,1.81
EuVO4,3.44
CsRbP2Se8,2.41
Na2In2SiS6,3.27
NaScSe2O6,5.50
MoTe2,1.10
As2Se3,1.73
CdP4,0.91
Ba6Al4B14O33,3.44
Mg3B50C8,2.70
InP,1.45
BaCdSnS4,2.30
ZnSe,2.70
PbI2,2.56
Zn0.75Cd0.25Se,3.20
Li4Rb3B7O14,6.53
AgInTe2,0.93
AsTe,0.74
Pb2O3,1.67
K10Sn3P8Se24,1.82
Sm2ZrSe5,1.41
Ba5Ga2Se8,2.51
Ce15B8N25,3.50
In0.1As0.1Ga0.9P0.9,2.25
Sn0.5GaZn3.5O6,2.99
Cu2Se,1.30
CuIn5S8,1.34
BaGa2GeSe6,2.81
Ga0.25Al0.75As,2.42
Cs2Cu3DyTe4,1.38
LiI,5.90
Rb1.54Cd1.54Bi2.46S6,1.33
Cu2CdSnS4,1.40
CuGaSe2,1.36
Pb2V3Se5O18,3.14
Li2In2GeSe6,2.30
GaP,2.78
ZnTe,2.23
Fe2Te3,0.34
LiIO3,4.00
SrTiO3,4.10
CuGaInS3.5,1.84
KAg2SbS3,2.10
Tl2Hg3Se4,1.57
RbSbS2,2.13
La2YbCuSe5,1.15
In2S3,2.00
NaAsS2,2.33
Ag0.4Cd0.5In2.2Te4,0.19
Cs2Hg3S4,2.80
GaSe,2.13
ZnO,3.44
BiSeI,1.32
MgSe,5.63
CdIn2Te4,1.44
In4S5,0.90
Gd2Mn4S7,1.44
YbClWO4,4.23
Ba3Ta5O14N,2.80
PbCdP4O12,4.87
Sr2SmTaO6,3.38
CsYbZnSe3,1.97
LiGaSe2,3.34
HfS3,3.10
Hg4As2HfCl6,2.47
CdSb,0.58
KBaSbSe3,2.04
BiSCl,1.93
RbMn4In5Se12,1.76
MnSe,2.50
Cu0.15In1.85Se2.85,1.32
KUO3Cl,2.37
CsTb9Cd4Se18,1.95
GeAs,1.65
Cd3MoTe2O10,3.81
ZnSnAs2,0.60
ZnIn2S4,2.99
GaSb,0.81
Pb0.7Ge0.3Se,0.40
CsInGeS4,2.40
BiTeI,0.46
GaTe,1.50
Cs2Cu2Sb2S5,1.60
Pb2H2P2O6,3.97
Na7.36Ga7.24Sn4.78Se24,1.50
GaTe,1.70
CeN,0.70
KYTe2O6,3.80
Rb4Ti3S14,1.59
BaGa2S4,4.13
CsCd4In5Se12,1.62
La2MoO5,1.00
BaZnSiSe4,2.71
Pr4Te7,0.46
TeO2,3.00
CdGa2S4,3.40
KV2I3O13,2.30
Cd3P2,0.55
GaSe,2.20
CaMg2N2,3.25
MgSe,6.00
Pr2.48Tb0.52Ga1.67S7,2.61
Zn3In2S6,3.05
Pb2Bi5.9La2.1S14,1.00
TlAsSe2,1.40
CsYbZnSe3,2.10
Cd3P2,0.52
PbSbO2I,2.48
Ba8Ga10Si36,0.31
Bi2O3,2.80
Pb0.83Sn0.17Te,0.15
KNb3Se2O12,3.46
ZnO,3.49
Tl3AsSe3,1.30
CdGa2Se4,2.10
CeMn0.5OSe,2.01
InSe,1.35
As2S3,2.36
ThOS,2.22
Tl4Nb2S11,1.80
SmTe,0.22
Hg4As2.5InBr3.5,1.71
Li4.5Fe0.5TeO6,3.25
Bi25FeO39,2.80
Hg0.2Zn0.8Te,1.46
CdO,2.30
Bi2Te0.1Se2.9,0.78
PbSbBS4,1.80
ZnGa2Se4,1.72
CuBiP2Se6,1.20
Pb10B3O13Br3,3.25
AgGaS2,2.62
AgBiP2S6,1.70
SrThP2S8,3.02
UO2,2.18
CuGaSe2,1.70
DyB6,3.30
K1.25Pb3.5Bi7.25Se15,0.53
K2Cd2Te3,1.93
Gd4GaSbS9,2.41
NdCuOTe,2.26
CsBiS2,1.46
CdSiAs2,1.47
ZnS,3.88
OsTe2,0.30
PbBiBO4,3.20
Rb2Hg3Sn2S8,2.48
LiBi4Ta3O12,3.50
BaGa2SiS6,3.75
BaF2,9.06
BaTiO3,3.13
AlB12,2.50
RbAg2TeS6,2.04
Ba3P3O10Cl,6.89
Sm2Mn3Sb4S12,1.50
CdIn2S4,2.60
CdS0.35Se0.65,1.93
CoAs3,0.40
GeSe2O6,5.27
RbPSe6,2.18
Cu3ErTe3,0.24
KTaO3,3.50
SnS,1.09
CdS,2.50
In0.9As0.9Cd0.1Te0.1,0.69
CsZn4In5Se12,1.61
Na2KSb,1.10
Pb0.9Sn0.1Se,0.12
RbF,10.40
InP,1.26
PbI2,2.32
SbSeI,1.63
LiZnN,1.91
Zn0.75Cd0.25Se,3.30
CsBi3Se5,0.43
Cu3DySe3,0.20
Bi12PO20,3.25
TlInSe2,1.12
CdIn2Te4,1.12
AgGaSe2,1.80
LiNbO3,4.30
CuCl,3.31
CuCdInSe3,1.66
RuSbSe,0.90
Co2Te3O8,3.60
Li4SrB2O6,6.67
As2S3,2.64
K4GeSe4,0.64
CdCl2,5.70
AlB12,1.96
Na4MgGe2Se6,2.53
AgI,2.82
TaON,2.40
Ba3BSbSe6,1.89
EuLu2Se4,1.70
GaP,2.74
As2S3,2.48
Na4MgSi2Se6,2.85
CaSe,4.87
CsCeHgSe3,1.94
PbGa2GeSe6,1.96
In0.96As0.96Cd0.04Te0.04,0.69
CsCu2AsS3,2.30
Sb2Se3,1.06
SrLa2S4,2.85
SrTiO3,3.00
InP2S4,2.42
Ga0.8Sb0.8Cd0.2Te0.2,0.80
EuSb2S4,1.20
BaGa4Se7,2.64
KRbBi8Se13,0.64
In0.4Al0.6P,2.30
K8Ga8Si38,1.18
CuFeSe2,0.16
Cd3As2,0.13
La3Te4,0.43
Rh2S3,0.80
Ga1.01Sb0.99Te0.03,0.68
In0.4P0.4Ga0.6As0.6,1.74
GaSe,2.13
GaAs,1.52
Sb2Te3,0.21
Er2Mo3O12,1.04
TlSe,0.67
GaSe,2.17
Ge0.1Si0.9,1.04
Y2S3,2.90
Ba3ZnTa2O9,4.32
CuBS2,3.61
Zn0.4Hg0.6Se,0.50
Ta2O5,4.20
Pb0.75Sn0.25Se,0.04
Cu2ZnGeS4,2.10
Cu0.2In1.8Se2.8,1.26
AgS,1.00
OsP2,1.20
RbZrPSe6,2.00
Bi2S3,1.20
Zn3P2,1.15
GeO2,5.63
CdSe,1.73
Ag2SnSe3,0.81
NdTe2,0.48
NaSbS2,1.80
Cu2GeSe3,1.10
Pb2GeSe4O12,4.10
CsSmZnSe3,2.43
Sb3O4I,2.61
NaBaB5O9,4.78
Bi2SeI2O11,3.70
CdP2,2.15
Dy3Al0.5SiS7,2.22
TlCr5S4Se4,0.85
Nd2ZrS5,1.83
MnTe,1.35
LiInSe2,2.83
Ga1.005Sb0.995Te0.015,0.68
Ba3InS4Cl,3.42
EuVO4,3.26
CuGa3Se5,1.81
Bi5O7I,2.76
CsLaHgSe3,2.46
Mg2Pb,0.10
CdSe,1.77
NaI,5.89
NaAsSe2,1.71
TlSe,0.75
ReSi2,0.20
CdTe,1.60
Zn0.99Cd0.01Se,3.70
NaIn3S5,2.18
TiC0.9,0.30
KPbB5O9,3.10
GaTe,1.63
In2Te,0.46
Cu0.4In1.6Se2.6,1.32
ZnSnAs2,0.65
BaS,3.88
Cu2In4Te7,1.10
PbTe,0.32
K2Au2SnS4,2.75
TlBr,3.40
K3NaSn3Se8,2.20
Rb2CuNbS4,2.64
AgO,1.57
ZnO,3.44
CdS,2.55
Rb2TiCu2S4,2.19
OsSb2,0.30
SbSI,2.02
LiAlB14,1.82
Ba3Sn0.87Bi2.13Se8,0.79
K2CuIn3Se6,1.68
Ce2Te3,1.22
KCd4Ga5Se12,2.16
EuGa2Te4,1.70
PbBr2,3.23
ScN,2.60
Ba3Gd2P4S16,3.41
K2CsSb,1.20
CoAsSe,0.20
Sm4GaSbS9,2.23
Hg3ZnS2Cl4,2.65
BeO,10.39
Ga1.05Sb0.95Se0.15,0.66
CdGeAs2,0.56
Na3WO4Cl,4.99
GeAs2,1.06
GaAs,1.52
In0.01Al0.99P,2.40
Ba4CuGa5Se12,1.45
GaSb,0.81
CsCd4Ga5Te12,1.67
InAsI,0.41
Ag3SbS3,2.05
GaSb,0.81
CuFeSe2,0.15
Cu3ScSe3,0.30
RbBiS2,1.26
Hg0.8Zn0.2Te,0.07
AlN,6.28
SiAs,1.45
In2Se3,1.18
HgSc,0.24
Pb4Sb6Se13,0.65
CdP4,0.99
CdSnAs2,0.26
Cs6.40Na1.60Ga8Ge38,0.22
NaYbP2S6,1.85
GaN,3.44
Rb3NaMo2O8,4.84
BeS,4.17
Ag7AsS6,1.00
Ga2S3,2.80
TlAsSe2,1.35
Ag0.2Cd0.75In2.1Te4,0.54
WSe2,1.45
NdCuOS,2.98
Zn0.99Cd0.01Se,3.60
ZnB12O24H10,4.60
CdTe,1.66
CdS,2.49
Cs2Hg6S7,1.63
CaB6,4.50
AgIn5S8,1.76
K4P8Te4,1.40
V2O5,2.36
CuBr,2.90
Hg2Br2Te2,2.06
ScNiSb,0.11
BaGa2GeSe6,2.22
Na2Te,2.30
In4As5O12Br3,4.22
CuBr,3.02
TaN,2.30
Na2Mo2Se2O11,3.10
K4Ag9Sb4S12,2.00
K2Gd2Sb2Se9,1.33
RbBi3Se5,0.80
RuSbTe,0.50
SnS,1.07
BiI3,1.93
Zn0.7S0.7Ga0.3P0.3,2.50
ZnSiAs2,2.12
Dy3GaS6,2.81
ZnSe,2.82
La2Ga0.33SbS5,1.76
BaB2O4,6.70
UO,1.50
CuSbS2,1.40
SmS,2.30
InSnAsSe,0.26
ZnSe,2.68
Cs4Zr3S14,2.35
Ba7AgGa5S15,2.60
CaNd2S4,2.70
CsSmZnSe3,2.63
NaIn3Se5,2.17
PSe,2.50
Hg0.01Zn0.99Te,2.17
TlScSe2,0.79
Sb2Te3,0.28
Tl2O3,2.25
CdGeAs2,0.50
Mg2Sn,0.23
SrPb3Br8,3.20
CuFeS2,0.43
KSbS2,1.67
RbCl,8.20
MnSb2Se4,0.31
K2TeI6,1.38
Na2TeSe3,1.87
Cd3As2,0.11
CsSb,0.61
CsZrPSe6,2.00
Zn2In2S5,2.68
Eu3Bi4S9,1.18
Ga0.01Al0.99P,2.49
RbBa2P5O15,7.60
LiMgBi,0.40
NaBiS2,0.44
PbI2,2.54
CdGeP2,1.73
CoSb3,0.49
InSe,1.05
Bi25GaO39,2.99
Ba12In4S19,2.56
Cu0.1Ga1.9S2.9,2.65
Bi7F11O5,4.05
Zn0.01Cd0.99Se,2.40
Sr4Te3O8Cl4,4.00
BaIn2S4,3.06
AgInSe2,1.25
InSb,0.23
BaTiO3,3.06
SrGe2,0.90
Cu0.1Ga1.9S2.9,2.60
Cd4P2Cl3,2.24
In0.98As0.98Cd0.02Te0.02,0.73
GaSe,2.09
InSe,1.19
WO3,2.80
Na2Ga2GeS6,3.29
Ga0.5Al0.5As,2.12
CuScO2,3.30
Gd2O3,5.30
InAs,0.41
GaAs0.01P0.99,2.23
LiInS2,3.59
IrS2,0.90
MnI2,4.04
In0.4Ga0.6P,2.05
TlBr,3.30
AlP,2.51
Eu1.83Ta15O32,0.23
Ga2Te3O9,4.14
In2Se,0.83
Ba3Sb2S7,2.40
RuPAs,0.80
KAg2AsS3,2.25
PrBN2,4.00
Sr3Se3O8Cl,4.40
LiBr,7.50
Cd0.95Te0.95Al0.05Sb0.05,1.37
Cs2Ga2Se5,1.95
Cd3P2,0.58
Zn3In2S6,2.80
RbBi3Se5,0.43
Pb0.9Ge0.1Se,0.30
CuInSe2,1.07
InAs,0.28
Cu2Te3O8,2.64
EuSnTe2,0.60
CuI,3.05
Ba2InDyTe5,1.35
GaAs,1.53
CsSmHgSe3,2.37
Ca3B2N4,3.90
