formula,pearson symbol,space group,mpid,oqmdid,e_form expt,e_form mp,e_form oqmd
ScAg2,tI6,I4/mmm,mp-1018128,27633,-0.2809,-0.30212525,-0.30750919
ScAg,cP2,Pm-3m,mp-11237,10665,-0.2715,-0.27875396,-0.28691687
Ag51Y14,hP68,P6/m,,,-0.2301,,
YAg,cP2,Pm-3m,mp-2474,10681,-0.2778,-0.33641916,-0.34309354
Ag51La14,hP68,P6/m,,,-0.2218,,
LaAg,cP2,Pm-3m,mp-1948,10639,-0.1752,-0.26173778,-0.26489469
Ag51Ce14,hP68,P6/m,,,-0.2,,
CeAg,cP2,Pm-3m,mp-2756,10361,-0.1399,-0.03966432,-0.24419368
Ag51Pr14,hP68,P6/m,,,-0.229,,
PrAg,cP2,Pm-3m,mp-2525,10662,-0.2529,-0.24710848,-0.25770733
Ag51Nd14,hP68,P6/m,,,-0.1834,,
NdAg,cP2,Pm-3m,mp-1236,10660,-0.2052,-0.25934894,-0.26962121
ZrAg,tP4,P4/nmm,mp-11239,10690,-0.0323,-0.12296924,-0.12506091
Zr2Ag,tI6,I4/mmm,mp-2221,10691,-0.0152,-0.10909721,-0.11036623
HfAg,tP4,P4/nmm,mp-13156,20652,-0.1113,-0.11973231,-0.11913138
Al0.67Ni0.17Y0.16,oC24,Cmcm,,,-0.5597,,
YAl2Ni,oS16,Cmcm,mp-13094,10532,-0.6509,-0.64821439,-0.65212275
Al0.18Ni0.55Y0.27,cI44,Im-3m,,,-0.5027,,
Al0.8Ni0.15Y0.05,,Cmcm,,,-0.37,,
Al0.6Ni0.07Y0.33,cF24,Fd-3m,,,-0.5877,,
YAlNi,hP9,P-62m,mp-13095,27924,-0.5607,-0.59861675,-0.60450311
YAl3Ni2,hP18,P6/mmm,mp-5063,647439,-0.6509,-0.65817815,-0.66654722
Al0.25Ni0.58Y0.17,hP6,P6/mmm,,,-0.5006,,
Al0.15Ni0.68Y0.17,hP6,P6/mmm,,,-0.4902,,
Al0.05Ni0.78Y0.17,hP6,P6/mmm,,,-0.3746,,
Al0.08Ni0.67Y0.25,hP24,P63/mmc,,,-0.3928,,
HfAlNi2,cF16,Fm-3m,mp-5748,10473,-0.6032,-0.63745526,-0.64536214
Al0.82Fe0.09Ni0.09,mP22,P121/c1,,,-0.2674,,
Al0.72Fe0.14Ni0.14,,,,,-0.3804,,
Al0.18Fe0.07Ni0.75,cP4,Pm-3m,,,-0.2933,,
AlFe2Ni,cP2,Pm-3m,,,-0.2892,,
AlFeNi2,cP2,Pm-3m,,,-0.3171,,
Al3Fe3Ni4,cP2,Pm-3m,,,-0.3545,,
Al0.33Fe0.57Ni0.1,cP2,Pm-3m,,,-0.256,,
Al2Fe3Ni,cP2,Pm-3m,,,-0.3348,,
AlFeNi,cP2,Pm-3m,,,-0.4084,,
Al3Fe2Ni4,cP2,Pm-3m,,,-0.427,,
Al2FeNi3,cP2,Pm-3m,,,-0.4301,,
Al0.33Fe0.1Ni0.57,cP2,Pm-3m,,,-0.454,,
Al4Fe5Ni,cP2,Pm-3m,,,-0.2933,,
Al2Fe2Ni,cP2,Pm-3m,,,-0.3399,,
Al4Fe3Ni3,cP2,Pm-3m,,,-0.3669,,
Al2FeNi2,cP2,Pm-3m,,,-0.4436,,
Al4FeNi5,cP2,Pm-3m,,,-0.5058,,
Al5Fe4Ni,cP2,Pm-3m,,,-0.3089,,
Al2FeNi,cP2,Pm-3m,,,-0.4612,,
Al5FeNi4,cP2,Pm-3m,,,-0.4944,,
AlFe2,cP2,Pm-3m,,,-0.2301,,
Al2Fe3,cP2,Pm-3m,,,-0.2684,,
AlFe,cP2,Pm-3m,mp-2658,54708,-0.2747,-0.33204742,-0.33175568
AlNbNi,hP12,P63/mmc,,,-0.4239,,
NbAlNi2,cF16,Fm-3m,mp-4813,10512,-0.4001,-0.42826975,-0.44036077
Al0.27Nb0.33Ni0.4,hP12,P63/mmc,,,-0.4052,,
Al0.4Nb0.33Ni0.2,hP12,P63/mmc,,,-0.4788,,
Al0.2Nb0.04Ni0.76,cP4,Pm-3m,,,-0.2943,,
Al0.45Ni0.45Ru0.1,cP2,Pm-3m,,,-0.5752,,
Al2Ni2Ru,cP2,Pm-3m,,,-0.5349,,
Al5NiRu4,cP2,Pm-3m,,,-0.6426,,
Al5Ni2Ru3,cP2,Pm-3m,,,-0.6544,,
Al5Ni4Ru,cP2,Pm-3m,,,-0.5794,,
Al5Ni3Ru2,cP2,Pm-3m,,,-0.6374,,
Al0.45Ni0.1Ru0.45,cP2,Pm-3m,,,-0.5816,,
Al0.45Ni0.35Ru0.2,cP2,Pm-3m,,,-0.597,,
Al0.45Ni0.2Ru0.35,cP2,Pm-3m,,,-0.5896,,
Al5CoNi4,cP2,Pm-3m,,,-0.5618,,
Al0.5Co0.2Ni0.3,cP2,Pm-3m,,,-0.548,,
Al0.5Co0.3Ni0.2,cP2,Pm-3m,,,-0.5348,,
Al5Co4Ni,cP2,Pm-3m,,,-0.5304,,
AlCo,cP2,Pm-3m,mp-284,10411,-0.5367,-0.60278819,-0.61034217
Al4CoNi5,cP2,Pm-3m,,,-0.479,,
Al2CoNi2,cP2,Pm-3m,,,-0.4578,,
Al4Co3Ni3,cP2,Pm-3m,,,-0.4382,,
Al0.5Co0.05Ni0.45,cP2,Pm-3m,,,-0.6051,,
Al2Co2Ni,cP2,Pm-3m,,,-0.4353,,
Al4Co5Ni,cP2,Pm-3m,,,-0.4213,,
Al2Co3,cP2,Pm-3m,,,-0.3716,,
Al0.55Co0.1Ni0.35,cP2,Pm-3m,,,-0.6093,,
Al0.52Co0.18Ni0.3,cP2,Pm-3m,,,-0.5539,,
Al0.4Co0.05Ni0.55,cP2,Pm-3m,,,-0.486,,
Al0.33Co0.2Ni0.47,cP2,Pm-3m,,,-0.3758,,
Al0.25Co0.05Ni0.7,cp4,Pm-3m,,,-0.3238,,
Al0.71Co0.25Ni0.04,hP28,P63/mmc,,,-0.4208,,
AlCo,cP2,Pm-3m,mp-284,10411,-0.5535,-0.60278819,-0.61034217
AlNi,cP2,Pm-3m,mp-1487,94913,-0.6405,-0.65864811,-0.66944636
Al0.5Cu0.05Ni0.45,cP2,Pm-3m,,,-0.5815,,
Al5CuNi4,cP2,Pm-3m,,,-0.5675,,
Al0.5Cu0.15Ni0.35,cP2,Pm-3m,,,-0.426,,
Al5Cu2Ni3,cP2,Pm-3m,,,-0.4033,,
Al2CuNi,cP2,Pm-3m,,,-0.3319,,
Al5Cu3Ni2,cP2,Pm-3m,,,-0.3106,,
Al2Ni3,cP2,Pm-3m,,,-0.5317,,
Al4CuNi5,cP2,Pm-3m,,,-0.5068,,
Al2CuNi2,cP2,Pm-3m,,,-0.4315,,
Al0.4Cu0.25Ni0.35,cP2,Pm-3m,,,-0.4059,,
Al4Cu3Ni3,cP2,Pm-3m,,,-0.3888,,
Al2Cu2Ni,cP2,Pm-3m,,,-0.3029,,
Al0.4Cu0.45Ni0.15,cP2,Pm-3m,,,-0.3294,,
Al0.55Cu0.15Ni0.3,cP2,Pm-3m,,,-0.4294,,
AlCu8Ni,cF4,Fm-3m,,,-0.0685,,
Al3Cu5Ni2,cP2,Pm-3m,,,-0.2953,,
Al5Ni4Pt,cP2,Pm-3m,,,-0.7038,,
Al5Ni3Pt2,cP2,Pm-3m,,,-0.7472,,
Al0.45Ni0.45Pt0.1,cP2,Pm-3m,,,-0.6247,,
Al0.45Ni0.4Pt0.15,cP2,Pm-3m,,,-0.6389,,
Al0.5Ni0.45Pt0.05,cP2,Pm-3m,,,-0.6296,,
Al0.55Ni0.4Pt0.05,cP2,Pm-3m,,,-0.6321,,
Al6Ni3Pt,hP5,P-3m1,,,-0.6692,,
Al3NiPt,hP5,P-3m1,,,-0.8191,,
Al6NiPt3,hP5,P-3m1,,,-0.9105,,
Al0.27Ni0.63Pt0.1,cP2,Pm-3m,,,-0.5166,,
Al0.27Ni0.68Pt0.05,cP2,Pm-3m,,,-0.4337,,
Al0.05Ni0.9Pt0.05,cF4,Fm-3m,,,-0.1538,,
Al0.9Ni0.05Pt0.05,cF4,Fm-3m,,,-0.1919,,
Al5Ni4Pd,cP2,Pm-3m,,,-0.6777,,
Al5Ni3Pd2,cP2,Pm-3m,,,-0.7476,,
Al5Ni2Pd3,cP2,Pm-3m,,,-0.808,,
Al5NiPd4,cP2,Pm-3m,,,-0.9033,,
AlPd,cP2,Pm-3m,mp-829,10550,-0.9457,-0.8822333,-0.87597428
Al4Ni5Pd,cP2,Pm-3m,,,-0.5922,,
Al2Ni2Pd,cP2,Pm-3m,,,-0.6382,,
Al4Ni3Pd3,cP2,Pm-3m,,,-0.7154,,
Al2NiPd2,cP2,Pm-3m,,,-0.7781,,
Al0.54Ni0.46,cP2,Pm-3m,,,-0.6177,,
Al0.45Ni0.5Ti0.05,cP2,Pm-3m,,,-0.6156,,
Al4Ni5Ti,cP2,Pm-3m,,,-0.6229,,
Al0.45Ni0.55,cP2,Pm-3m,,,-0.6053,,
Al0.4Ni0.55Ti0.05,cP2,Pm-3m,,,-0.5882,,
Al0.5Ni0.42Ti0.08,cP2,Pm-3m,,,-0.5721,,
Al3Ni5Ti2,cF16,Fm-3m,,,-0.5599,,
TiAlNi2,cF16,Fm-3m,mp-7187,21081,-0.5783,-0.62052541,-0.64117697
Al2Ni5Ti3,cF16,Fm-3m,,,-0.569,,
Al0.05Ni0.5Ti0.45,cP2,Pm-3m,,,-0.4218,,
Al5Ni2Ti3,cF144,Fm-3m,,,-0.4995,,
Al0.21Ni0.74Ti0.05,cP4,Pm-3m,,,-0.2545,,
Al0.16Ni0.74Ti0.1,cP4,Pm-3m,,,-0.3341,,
Al0.11Ni0.74Ti0.15,cP4,Pm-3m,,,-0.4102,,
TiAl2Ni,cF144,Fm-3m,,509949,-0.5,,-0.33701128
Al0.05Ni0.75Ti0.2,hP16,P63/mmc,,,-0.3616,,
Al5IrNi4,cP2,Pm-3m,,,-0.6227,,
Al5Ir2Ni3,cP2,Pm-3m,,,-0.6825,,
Al5Ir4Ni,cP2,Pm-3m,,,-0.8476,,
AlIr,cP2,Pm-3m,mp-1885,10480,-0.8875,-0.9453517,-0.94632008
AlIr,cP2,Pm-3m,mp-1885,10480,-0.9618,-0.9453517,-0.94632008
Al4IrNi5,cP2,Pm-3m,,,-0.5559,,
Al2IrNi2,cP2,Pm-3m,,,-0.6187,,
Al4Ir3Ni3,cP2,Pm-3m,,,-0.6869,,
Al2Ir2Ni,cP2,Pm-3m,,,-0.7747,,
ScAu,cP2,Pm-3m,mp-11256,10797,-0.7887,-0.80003426,-0.8037018
YAu,cP2,Pm-3m,mp-11261,10822,-0.8157,-0.8561513,-0.86178639
LaAu,oP8,Pnma,,28181,-0.7245,,-0.82187696
Au51Ce14,hP68,P6/m,,,-0.513,,
Au2Ce,oI12,Imma,,,-0.5959,,
CeAu,oP8,Pnma,,28133,-0.6509,,-0.78051986
Au51Pr14,hP68,P6/m,,,-0.569,,
PrAu2,oI12,Imma,mp-30415,10795,-0.6654,-0.76024071,-0.76304137
PrAu,oP8,Pnma,,28204,-0.7483,,-0.79399349
Au51Nd14,hP68,P6/m,,,-0.511,,
Au2Nd,tP106,P4/nmm,,,-0.7224,,
NdAu,oP8,Pnma,,28192,-0.7276,,-0.8085836
TiAu2,tI6,I4/mmm,mp-1018123,10816,-0.476,-0.42368917,-0.43286958
TiAu,tP4,P4/nmm,mp-998972,28225,-0.4581,-0.42630756,-0.44766886
Ti3Au,cP8,Pm-3n,mp-1786,10815,-0.3253,-0.3503004,-0.40897919
ZrAu3,oP8,Pmmn,,28234,-0.5328,,-0.49745752
ZrAu2,tI6,I4/mmm,mp-1018103,28235,-0.6322,-0.57450582,-0.57476874
Au4Zr5,mP32,P12/m1,,,-0.4887,,
Zr3Au,cP8,Pm-3n,mp-11263,10833,-0.3117,-0.34064662,-0.344695
HfAu3,oP8,Pmmn,,28169,-0.5676,,-0.47940044
HfAu2,tI6,I4/mmm,mp-1018153,28170,-0.6424,-0.55926991,-0.56096042
HfAu,tP4,P4/nmm,mp-1007755,28171,-0.5911,-0.53970088,-0.54374941
Hf2Au,tI6,I4/mmm,mp-30383,10733,-0.4224,-0.44170843,-0.43916889
Au4V,,,,,-0.1015,,
Au2V,,,,,-0.1075,,
AuV4,,,,,-0.1009,,
Au2Nb,,,,,-0.1385,,
Au2Ta3,,,,,-0.2131,,
CeNi,oS8,Cmcm,mp-21188,19828,-0.314,-0.31832568,-0.2680098
CeNi5,hP6,P6/mmm,mp-1910,,-0.2912,-0.34174988,
CeRu2,cF24,Fd-3m,mp-607,31172,-0.2892,-0.28556185,-0.03192737
CeRh2,cF24,Fd-3m,mp-951,18272,-0.6892,-0.72223566,-0.60159683
CeRh3,cP4,Pm-3m,mp-1518,29167,-0.5721,-0.65070242,-0.22961403
Ce5Rh4,oP36,Pnma,mp-680602,27547,-0.7307,-0.6354722,-0.56776512
CePd,oS8,Cmcm,mp-1018086,29155,-0.8115,-0.67666873,-0.76634775
CePd3,cP4,Pm-3m,mp-2092,18665,-0.7566,-0.84301504,-0.72610748
CeIr2,cF24,Fd-3m,mp-582,29113,-0.7649,-0.77569556,-0.62518661
CePt,oS8,Cmcm,mp-21245,18268,-1.0758,-1.09083658,-1.0789242
CePt2,cF24,Fd-3m,mp-2109,18795,-0.939,-1.01138152,-0.99678888
CeCu6,oP28,Pnma,mp-21708,19222,-0.2166,-0.11954031,-0.11315403
CeCu6,oP28,Pnma,mp-21708,19222,-0.1047,-0.11954031,-0.11315403
CeCu2,oI12,Imma,mp-2801,29059,-0.2197,-0.15003585,-0.17359366
CeCu2,oI12,Imma,mp-2801,29059,-0.1534,-0.15003585,-0.17359366
TiCo,cP2,Pm-3m,mp-823,18811,-0.428,-0.39000135,-0.4096884
ZrCo2,cF24,Fd-3m,mp-929,31202,-0.371,-0.30849371,-0.32129482
ZrCo,cP2,Pm-3m,mp-2283,29537,-0.371,-0.28187688,-0.28789901
Zr2Co,tI12,I4/mcm,mp-628,29534,-0.2736,-0.25113077,-0.26078137
HfCo2,cF24,Fd-3m,mp-2337,29360,-0.4084,-0.36745692,-0.38035091
HfCo,cP2,Pm-3m,mp-2027,88389,-0.4923,-0.39554595,-0.39532442
HfCo,cP2,Pm-3m,mp-2027,88389,-0.4436,-0.39554595,-0.39532442
Cu4Sc,,,,,-0.1451,,
ScCu2,tI6,I4/mmm,mp-1018149,29783,-0.18,-0.25442908,-0.25688792
ScCu,cP2,Pm-3m,mp-1169,88926,-0.2161,-0.27157447,-0.27835424
Cu4Y,hP6,P6/mmm,,,-0.1662,,
YCu2,oI12,Imma,mp-2698,22909,-0.2021,-0.25999506,-0.263491
YCu,cP2,Pm-3m,mp-712,88957,-0.2004,-0.23550464,-0.2439541
LaCu6,oP28,Pnma,mp-636256,29713,-0.1027,-0.12873991,-0.13245614
LaCu2,hP3,P6/mmm,mp-2051,29715,-0.1675,-0.21782207,-0.22225439
PrCu6,oP28,Pnma,mp-30698,29754,-0.1171,-0.12151383,-0.1256437
Cu2Pr,oI12,Imma,,,-0.1503,,
Cu6Nd,oP28,Pnma,,,-0.1378,,
NdCu2,oI12,Imma,mp-11852,18310,-0.1752,-0.20811317,-0.20554552
CuTi,,,,,-0.0996,,
Cu3Zr,,,,,-0.1458,,
Cu3Zr2,,,,,-0.1276,,
CuZr,,,,,-0.0938,,
CuZr2,,,,,-0.1135,,
Cu4Hf,,,,,-0.1415,,
Cu3Hf2,,,,,-0.131,,
CuHf2,,,,,-0.1578,,
DyNi,oP8,Pnma,mp-2738,89117,-0.3648,-0.45827261,-0.46149673
DyNi5,hP6,P6/mmm,mp-1179,29892,-0.284,-0.33433602,-0.3363989
DyRu2,hP12,P63/mmc,,,-0.2829,,
DyRh,cP2,Pm-3m,mp-232,89140,-0.7929,-0.89557702,-0.87351625
DyRh2,cF24,Fd-3m,mp-1388,29923,-0.6457,-0.75729068,-0.75177647
Dy7Rh3,,,,,-0.5887,,
DyPd,,,,,-0.8633,,
Dy4Pd5,,,,,-0.8975,,
DyPd3,,,,,-0.7898,,
DyIr2,cF24,Fd-3m,mp-1358,29881,-0.7245,-0.81256708,-0.81551265
DyPt,oP8,Pnma,,29915,-1.1338,,-1.28752687
DyPt2,,,,,-1.0167,,
DyPt3,,,,,-0.8582,,
ErNi,oP8,Pnma,mp-567314,30015,-0.4363,-0.48549384,-0.49334426
ErNi5,hP6,P6/mmm,mp-853,9962,-0.3026,-0.33986862,-0.34341508
ErRu2,hP12,P63/mmc,mp-569220,19323,-0.2715,-0.36478196,-0.3528259
ErRh,cP2,Pm-3m,mp-2381,30040,-0.9058,-0.9528684,-0.93567722
ErRh2,cF24,Fd-3m,mp-1762,30042,-0.7234,-0.76770201,-0.7658654
ErPd,cP2,Pm-3m,mp-851,89074,-0.9442,-0.93696182,-0.93152616
Er3Pd4,hR42,R-3,,30026,-0.9805,,-0.96967227
ErPd3,cP4,Pm-3m,mp-2825,18320,-0.9349,-0.91946738,-0.9140862
ErIr2,cF24,Fd-3m,mp-1495,29997,-0.7866,-0.82361226,-0.82946363
ErPt,oP8,Pnma,,30033,-1.2302,,-1.31429651
ErPt2,cF24,Fd-3m,mp-480,30034,-1.1173,-1.11267266,-1.1099039
ErPt3,cP4,Pm-3m,mp-1913,30031,-0.9701,-1.0588538,-1.05419548
ErIr,cP2,Pm-3m,mp-2713,30000,-0.8592,-0.90571141,-0.88723354
GdNi,oS8,Cmcm,mp-542632,31223,-0.3099,-0.39817732,-0.4264578
GdNi5,hP6,P6/mmm,mp-21305,18493,-0.285,-0.31645859,-0.32547128
GdRu2,hP12,P63/mmc,,19322,-0.2249,,-0.27254295
GdRh,cP2,Pm-3m,mp-1742,89749,-0.7504,-0.79845049,-0.80485092
GdRh2,cF24,Fd-3m,mp-20084,18849,-0.6778,-0.72410801,-0.73098246
GdPd,oS8,Cmcm,mp-11427,30400,-0.8561,-0.87615604,-0.90098728
Gd3Pd4,,,,,-0.9172,,
GdPd3,cP4,Pm-3m,mp-21427,18693,-0.826,-0.85188089,-0.86843066
GdIr2,cF24,Fd-3m,,30381,-0.71,,-0.79258353
GdPt,oP8,Pnma,mp-11428,30403,-1.1328,-1.22332553,-1.25292099
GdPt2,cF24,Fd-3m,mp-1422,19392,-1.0364,-1.09387375,-1.09629062
Hf2Ni7,mS36,C12/m1,,,-0.4571,,
HfNi,oS8,Cmcm,mp-1018056,30515,-0.6146,-0.51942899,-0.51903074
HfNi,,,,,-0.5006,,
HfNi3,hP40,P63/mmc,mp-12174,,-0.4954,-0.53959734,
HfPt,oS8,Cmcm,mp-1007691,30519,-1.1784,-1.1551287,-1.15022438
HfPd3,hP16,P63/mmc,mp-11453,17381,-0.9183,-0.88831847,-0.88228811
HfPd3,,,,,-0.9172,,
HfPd,,,,,-0.7203,,
HfPd,cP2,Pm-3m,mp-1002106,307534,-0.6986,-0.62011466,-0.62936267
HfRh,cP2,Pm-3m,mp-11457,17386,-0.9929,-0.84404262,-0.86225973
HfIr,,Pmma,mp-1018055,,-1.0022,-0.9168302,
HoNi,oP8,Pnma,mp-11871,18379,-0.4322,-0.47223961,-0.47578984
HoNi5,hP6,P6/mmm,mp-1553,,-0.3099,-0.33706329,
HoRu2,hP12,P63/mmc,,,-0.2778,,
HoRh,cP2,Pm-3m,mp-2163,89924,-0.9038,-0.92349809,-0.90454717
HoRh2,cF24,Fd-3m,mp-546,17475,-0.7296,-0.762437,-0.75878765
Ho3Rh2,tI140,I4/mcm,,,-0.7607,,
HoPd,oP8,Pnma,,30553,-0.9483,,-0.93871055
Ho3Pd4,,,,,-0.9763,,
HoPd3,cP4,Pm-3m,mp-1979,17468,-0.9058,-0.91014537,-0.90423583
HoIr2,cF24,Fd-3m,mp-928,17458,-0.7711,-0.81827398,-0.82305063
HoPt,oP8,Pnma,,30556,-1.2624,,-1.30171123
HoPt2,cF24,Fd-3m,mp-2579,17471,-1.1048,-1.11254222,-1.10920807
HoPt3,cP4,Pm-3m,mp-195,17472,-0.9877,-1.04221636,-1.03721597
HoIr,cP2,Pm-3m,mp-11476,17457,-0.8364,-0.87271706,-0.85305838
LaIr2,cF24,Fd-3m,mp-1463,17488,-0.6519,-0.72561905,-0.72714162
LaIr3,hR36,R-3m,,30613,-0.5151,,-0.5348565
PrIr2,cF24,Fd-3m,mp-946,17509,-0.7328,-0.66232216,-0.66759489
TbIr2,cF24,Fd-3m,mp-2725,17519,-0.7317,-0.80297357,-0.58630438
LuIr,cP2,Pm-3m,mp-1529,17492,-0.8861,-0.9940064,-0.97229331
LuIr2,cF24,Fd-3m,mp-1761,17493,-0.7359,-0.8276612,-0.83185282
YIr,cP2,Pm-3m,mp-30746,17536,-0.683,-0.80468492,-0.78488145
YIr2,cF24,Fd-3m,mp-2762,17537,-0.6156,-0.79612315,-0.80149427
ZrIr,cP2,Pm-3m,mp-11484,17541,-0.8882,-0.7304602,-0.76682189
TiIr,cP2,Pm-3m,mp-12594,116945,-0.8737,-0.74761197,-0.78383948
La3Ni,oP16,Pnma,,668142,-0.1358,,-0.19038848
LaNi,oS8,Cmcm,,30648,-0.257,,-0.33702567
LaNi5,hP6,P6/mmm,mp-2317,17564,-0.2726,-0.28580203,-0.28991384
LaRu2,cF24,Fd-3m,mp-2019,17577,-0.1068,-0.13222134,-0.11503042
LaRh,oS8,Cmcm,mp-1002107,31221,-0.5835,-0.75047637,-0.7408583
LaRh2,cF24,Fd-3m,mp-1702,17575,-0.5959,-0.70925247,-0.70088488
LaPd,oS8,Cmcm,mp-1002115,30656,-0.7898,-0.83987198,-0.83094462
LaPd3,cP4,Pm-3m,mp-674,17569,-0.7991,-0.8155392,-0.81537576
LaOs2,hP12,P63/mmc,,,-0.0933,,
LaPt2,cF24,Fd-3m,mp-912,17572,-0.9328,-1.08864628,-1.08129716
LaPt,oS8,Cmcm,mp-1002104,30659,-0.9545,-1.19302803,-1.1873856
LaPt,oS8,Cmcm,mp-1002104,30659,-1.0333,-1.19302803,-1.1873856
LuNi,oP8,Pnma,,30692,-0.4902,,-0.52931072
LuNi5,hP6,P6/mmm,mp-11491,17615,-0.3109,-0.34297382,-0.34533348
LuRh2,cF24,Fd-3m,mp-1728,17626,-0.7058,-0.77552117,-0.77269213
Lu3Rh2,,,,,-0.6084,,
LuPd,cP2,Pm-3m,mp-2205,17621,-0.9442,-0.9775014,-0.97183242
LuPd,cP2,Pm-3m,mp-2205,17621,-0.9846,-0.9775014,-0.97183242
LuPd3,cP4,Pm-3m,mp-1158,17622,-0.9193,-0.93985103,-0.9350624
LuPt,oP8,Pnma,,30701,-0.939,,-1.3408569
LuPt,oP8,Pnma,,30701,-1.2271,,-1.3408569
LuPt3,cP4,Pm-3m,mp-790,17624,-0.9245,-1.09541409,-1.09078775
LuPt3,,,,,-1.0717,,
Lu3Pd4,,,,,-1.0198,,
NbPt3,mP16,P121/m1,mp-12700,647400,-0.483,-0.65285668,-0.65412165
NdNi,oS8,Cmcm,mp-999339,30796,-0.2591,-0.31759139,-0.32541812
NdNi5,hP6,P6/mmm,mp-1824,,-0.2715,-0.27940392,
NdRu2,cF24,Fd-3m,mp-1781,17774,-0.1948,-0.1392589,-0.1218511
Nd5Ru2,mS28,C12/c1,,,-0.1783,,
NdRh,oS8,Cmcm,mp-999335,30810,-0.6654,-0.68586954,-0.67523078
NdRh2,cF24,Fd-3m,mp-2290,17771,-0.6208,-0.66563857,-0.6576357
NdRh3,hP24,P63/mmc,mp-864699,30811,-0.4602,-0.50838989,-0.50505822
Nd5Rh4,oP36,Pnma,,,-0.6208,,
NdPd,oS8,Cmcm,mp-999336,30805,-0.8001,-0.81837344,-0.81555618
NdPd3,cP4,Pm-3m,mp-2333,17765,-0.7597,-0.78640393,-0.78414478
NdIr2,cF24,Fd-3m,mp-890,17503,-0.7006,-0.69447488,-0.69973281
Nd5Ir3,tP32,P4/ncc,mp-30522,,-0.6187,-0.616531,
NdPt,oP8,Pnma,,30808,-1.082,,-1.14886368
NdPt2,cF24,Fd-3m,mp-2720,17768,-1.0147,-1.04798648,-1.0439796
NdPt5,hP6,P6/mmm,mp-2359,17770,-0.57,-0.70115448,-0.70350947
NiPt,cF4,Fm-3m,,,-0.0406,,
TiNi,cP2,Pm-3m,mp-571,116608,-0.3749,-0.34371282,-0.3780194
PrNi,oS8,Cmcm,mp-11799,30838,-0.2912,-0.29216889,-0.29994979
PrNi5,hP6,P6/mmm,mp-2370,17787,-0.2653,-0.26405656,-0.26530056
SmNi,oS8,Cmcm,mp-999145,30859,-0.3773,-0.36764828,-0.37422219
SmNi5,hP6,P6/mmm,mp-1075,17806,-0.284,-0.30177932,-0.30369402
TbNi,mP24,P121/m1,mp-31139,17831,-0.3814,-0.44018856,-0.11587876
TbNi5,hP6,P6/mmm,mp-30808,17834,-0.284,-0.32187828,-0.22247785
TmNi,oP8,Pnma,mp-11525,17842,-0.4809,-0.50330897,-0.50868034
TmNi5,hP6,P6/mmm,mp-11526,17844,-0.3016,-0.3424406,-0.34492088
