formula,pearson symbol,space group,mpid,oqmdid,e_form expt,e_form mp,e_form oqmd
TiNi3,hP16,P63/mmc,mp-1409,5776,-0.4374,-0.48423085,-0.49490854
TiNi,cP2,Pm-3m,mp-571,116608,-0.3431,-0.34371282,-0.3780194
Ni7Zr2,mS36,C12/m1,mp-2717,2288,-0.4208,-0.42918024,-0.43017345
ZrNi,oS8,Cmcm,mp-556,17864,-0.5234,-0.45603911,-0.45579793
Zr2Ni,tI12,I4/mcm,mp-328,103369,-0.3234,-0.32276983,-0.32468612
VNi3,tI8,I4/mmm,mp-171,17850,-0.2249,-0.24632097,-0.23769544
TaNi3,mP16,P121/m1,mp-569776,647410,-0.2114,-0.36122189,-0.36419278
YOs2,hP12,P63/mmc,mp-570670,19318,-0.257,-0.30890026,-0.30353374
OsTi,cP2,Pm-3m,mp-291,90586,-0.71,-0.71361444,-0.73613297
PrPd,oS8,Cmcm,mp-999291,31204,-0.8167,-0.79545696,-0.79253344
Pd2Pr,,,,,-0.8571,,
SmPd,oS8,Cmcm,mp-31380,18690,-0.854,-0.8606244,-0.85599954
Pd4Sm3,hR42,R-3,,,-0.9038,,
Pd3Sm,,,,,-0.8592,,
TbPd,oS8,Cmcm,mp-999124,30947,-0.883,-0.92341571,-0.58771042
Pd4Tb3,,,,,-0.8861,,
Pd3Tb,,,,,-0.8167,,
TmPd,cP2,Pm-3m,mp-348,17980,-0.9597,-0.95361712,-0.9479927
TmPd3,cP4,Pm-3m,mp-982,17981,-0.8996,-0.9290976,-0.92451966
YPd,oS8,Cmcm,,21469,-0.9836,,-0.91325416
Pd4Y3,hR42,R-3,,,-0.9618,,
YPd3,cP4,Pm-3m,mp-559,17986,-0.8188,-0.86590274,-0.85931583
TiPd3,hP16,P63/mmc,,21293,-0.6737,,-0.64955897
TaPd3,tI18,I4/mmm,mp-30836,17964,-0.3741,-0.49012818,-0.48488672
UPd3,hP16,P63/mmc,mp-30841,17982,-0.7638,-0.53641653,-0.5302551
UPd3,hP16,P63/mmc,mp-30841,17982,-0.741,-0.53641653,-0.5302551
TiPd,cP2,Pm-3m,mp-11546,17970,-0.5348,-0.47762927,-0.48671641
TiPd,oP4,Pmma,mp-980094,,-0.5524,-0.54879321,
Pd3Zr,,,,,-0.8747,,
ZrPd,mS16,Cmcm,mp-13495,9971,-0.6353,-0.65376425,-0.64896546
ZrPd,mS16,Cmcm,mp-13495,9971,-0.6851,-0.65376425,-0.64896546
PrRu2,cF24,Fd-3m,mp-2665,18889,-0.1752,-0.1002159,-0.08165385
PrRh2,cF24,Fd-3m,mp-2529,18888,-0.626,-0.64200098,-0.63329281
PrPt,oP8,Pnma,,30953,-1.0717,,-1.11835627
PrPt2,cF24,Fd-3m,mp-1061,18883,-0.9691,-1.02865162,-1.02437444
SmPt,oP8,Pnma,,30979,-1.1266,,-1.19778358
SmPt2,cF24,Fd-3m,mp-1127,17999,-1.0385,-1.0750635,-1.07204855
TbPt,oP8,Pnma,,670146,-1.1991,,-0.94239172
TbPt2,cF24,Fd-3m,mp-1697,18011,-1.0022,-1.10877126,-0.88454865
Pt3Tb,,,,,-0.8872,,
PtTm,oP8,Pnma,,,-1.2541,,
TmPt2,cF24,Fd-3m,mp-571271,18020,-1.1649,-1.11064205,-1.10883487
Pt3Tm,,,,,-0.9442,,
YPt,oP8,Pnma,,30992,-1.0779,,-1.26036657
YPt3,cP4,Pm-3m,mp-2403,18031,-0.9007,-0.98465417,-0.98113343
VPt3,tI8,I4/mmm,mp-2705,18028,-0.284,-0.45914973,-0.44208346
VPt2,oI6,Immm,mp-12108,30989,-0.3856,-0.55702017,-0.53721562
TiPt,cP2,Pm-3m,mp-11552,18015,-0.826,-0.79131172,-0.79979012
TiPt,oP4,Pmma,mp-998949,,-0.94,-0.9285324,
ZrPt,oS8,Cmcm,,30995,-0.995,,-1.08603694
ZrPt,oS8,Cmcm,,30995,-1.0789,,-1.08603694
SmRh2,cF24,Fd-3m,mp-840,18058,-0.6789,-0.70122295,-0.69424156
Rh3Sm4,,,,,-0.6892,,
TbRh,cP2,Pm-3m,mp-11561,18067,-0.7493,-0.86392462,-0.51145901
TbRh2,cF24,Fd-3m,mp-1310,18068,-0.6675,-0.74930235,-0.52306842
TmRh,cP2,Pm-3m,mp-11564,18076,-0.9214,-0.98561536,-0.96668025
TmRh2,cF24,Fd-3m,mp-30865,18077,-0.7566,-0.77274405,-0.77044224
YRh,cP2,Pm-3m,mp-191,18083,-0.7887,-0.85827792,-0.84222032
YRh2,cF24,Fd-3m,mp-921,18084,-0.6778,-0.74091214,-0.73874162
ZrRh,cP2,Pm-3m,mp-2808,90794,-0.7866,-0.73091778,-0.75268252
RhZr,,,,,-0.8188,,
URh3,cP4,Pm-3m,mp-1150,18078,-0.7224,-0.66664515,-0.67258111
TiRh,cP2,Pm-3m,mp-11563,18073,-0.741,-0.71770692,-0.74982654
TiRh,mP4,P12/m1,,755406,-0.7711,,-0.76142264
Ru2Tb,hP12,P63/mmc,,,-0.2446,,
Ru2Tb5,,,,,-0.3099,,
Ru2.Y5,mS28,C12/c1,,,-0.2829,,
ZrRu,cP2,Pm-3m,mp-214,116234,-0.712,-0.66012382,-0.64287548
TiRu,cP2,Pm-3m,mp-592,94574,-0.798,-0.7733,-0.78846466
URu3,cP4,Pm-3m,mp-1263,18098,-0.3213,-0.32529303,-0.32385064
HfRu,cP2,Pm-3m,mp-2802,17389,-0.9514,-0.8331391,-0.81247741
Fe2Sc,hP12,P63/mmc,,,-0.1161,,
ScCo2,cF24,Fd-3m,mp-253,19393,-0.3368,-0.35023303,-0.36189395
Sc2Co,tI12,I4/mcm,mp-30562,17119,-0.2767,-0.26004219,-0.26502967
ScNi,cP2,Pm-3m,mp-11521,17795,-0.4633,-0.50720254,-0.51584033
ScNi2,cF24,Fd-3m,mp-850,17796,-0.4457,-0.52315748,-0.52449873
ScRu,cP2,Pm-3m,mp-30867,18090,-0.4612,-0.54169358,-0.53324862
ScRh,cP2,Pm-3m,mp-1780,18054,-0.9794,-1.0415801,-1.02687326
ScIr,cP2,Pm-3m,mp-1129,17512,-0.9297,-1.05110554,-1.03014618
ScRh3,cP4,Pm-3m,mp-635,18055,-0.5358,-0.61301078,-0.61530617
ScPd,cP2,Pm-3m,mp-2781,17944,-0.9255,-0.90841484,-0.90740356
ScIr2,cF24,Fd-3m,mp-2263,17513,-0.6871,-0.74323264,-0.7488888
ScPt,cP2,Pm-3m,mp-892,17995,-1.0862,-1.22008164,-1.22878817
ScPt3,cP4,Pm-3m,mp-481,17997,-0.9805,-1.05328318,-1.04670448
Tm4Pd5,,,,,-0.9639,,
AlB12,tP216,P41212,,,-0.1182,,
AlMn4,cP20,P4132,,,-0.1565,,
AlMo3,cP8,Pm-3n,mp-259,10507,-0.2311,-0.22816317,-0.23531136
Nb3Al,cP8,Pm-3n,mp-796,18709,-0.142,-0.15861377,-0.18075574
AlPt3,,,,,-0.6592,,
AlPd2,oP12,Pnma,mp-2824,10552,-0.9048,-0.83438478,-0.82853899
AlRe2,tI6,I4/mmm,mp-10909,10574,-0.3068,-0.26518005,-0.25623593
Ta2Al,tP30,P42/mnm,mp-639874,658981,-0.2062,-0.06988478,-0.25063347
Al2Mn3,hP2,P63/mmc,,,-0.2425,,
Y3Al2,tP20,P42/mnm,mp-16723,,-0.4146,-0.35436314,
AlFe,cP2,Pm-3m,mp-2658,54708,-0.2436,-0.33204742,-0.33175568
HfAl,oS8,Cmcm,mp-249,18706,-0.4135,-0.40458448,-0.40186183
AlNi,cP2,Pm-3m,mp-1487,94913,-0.6042,-0.65864811,-0.66944636
AlPt,cP8,P213,mp-10904,10562,-1.0385,-1.04806983,-1.0482982
AlPt,cP8,P213,mp-10904,10562,-1.0116,-1.04806983,-1.0482982
AlRh,cP2,Pm-3m,mp-364,10576,-1.1017,-1.09471293,-1.09711632
AlRu,cP2,Pm-3m,mp-542569,18193,-0.6436,-0.6935834,-0.66275832
ScAl,cP2,Pm-3m,mp-331,10539,-0.426,-0.45145086,-0.44950931
Al4C3,hR21,R-3m,mp-1591,,-0.1897,-0.09141716,
Al3Pt2,hP5,P-3m1,mp-10905,10565,-1.0001,-0.99776218,-1.0001106
Al8Cr5,tI6,I4/mmm,,,-0.1752,,
Al8V5,cI52,I-43m,,,-0.3524,,
ScAl1.78,cF24,Fd-3m,,,-0.4944,,
HfAl2,hP12,P63/mmc,mp-12657,19094,-0.454,-0.44346682,-0.44402344
LaAl2,cF24,Fd-3m,mp-2694,10483,-0.5172,-0.49784908,-0.49709903
LuAl2,cF24,Fd-3m,mp-1234,10492,-0.5452,-0.48386232,-0.48440793
Al2Os,tI6,I4/mmm,mp-7188,10545,-0.4654,-0.56370358,-0.5618871
YAl2,cF24,Fd-3m,mp-2322,10612,-0.5224,-0.5314414,-0.53390158
ZrAl2,hP12,P63/mmc,mp-2772,9987,-0.54,-0.53810863,-0.54013952
Al8Mo3,mS22,C12/m1,,,-0.342,,
Al11Re4,aP15,P-1,,,-0.3576,,
ZrAl3,tI16,I4/mmm,mp-395,18198,-0.5016,-0.48454051,-0.48795685
HfAl3,tI16,I4/mmm,mp-568718,19074,-0.4208,-0.39534417,-0.39629425
NbAl3,tI8,I4/mmm,mp-1842,18710,-0.4198,-0.42336587,-0.43058276
TaAl3,tI8,I4/mmm,mp-869,644858,-0.3099,-0.31732438,-0.31961342
TiAl3,tI8,I4/mmm,mp-542915,18722,-0.3793,-0.39576492,-0.41231514
Al3V,tI8,I4/mmm,mp-2554,10604,-0.2881,-0.2886842,-0.28231944
Al11La3,oI28,Immm,,,-0.3887,,
Al4W,mS30,C1m1,mp-30336,10605,-0.1461,-0.15354977,-0.15547335
Co2B,tI12,I4/mcm,mp-493,5855,-0.2011,-0.24053737,-0.20127126
Fe2B,tI12,I4/mcm,mp-1915,7798,-0.2342,-0.31252032,-0.31235674
Mn2B,tI12,I4/mcm,mp-20318,67949,-0.3285,-0.39763521,-0.39815569
Ni2B,tI12,I4/mcm,mp-2536,7800,-0.2342,-0.28994333,-0.29406372
BPt2,hP6,P63/mmc,,,-0.2073,,
CoB,oP8,Pnma,mp-20857,5858,-0.3607,-0.40155458,-0.41008351
FeB,oP8,Pnma,mp-20787,5857,-0.3348,-0.37298173,-0.37596999
MnB,oP8,Pnma,mp-8365,13802,-0.371,-0.49912716,-0.49958023
BMo,,,,,-0.2975,,
NiB,oS8,Cmcm,mp-14019,5171,-0.2083,-0.2414927,-0.24335188
NiB,oS8,Cmcm,mp-14019,5171,-0.2145,-0.2414927,-0.24335188
RhB1.1,hP4,P63/mmc,mp-567164,,-0.3679,-0.38261772,
RuB1.1,hP4,P63/mmc,,,-0.2301,,
B4Ir3,mS28,C12/c1,,,-0.2166,,
CrB2,hP3,P6/mmm,mp-374,5847,-0.4125,-0.34044859,-0.3372479
DyB2,hP3,P6/mmm,mp-2057,8332,-0.313,-0.56534511,-0.5618701
ErB2,hP3,P6/mmm,mp-1774,647372,-0.2829,-0.62338387,-0.62242526
HoB2,hP3,P6/mmm,mp-2267,8366,-0.2892,-0.5948309,-0.59305299
LuB2,hP3,P6/mmm,mp-11219,115218,-0.3089,-0.69191694,-0.68902248
MnB2,hP3,P6/mmm,mp-585,8179,-0.2187,-0.28357077,-0.2887995
NbB2,hP3,P6/mmm,mp-450,5806,-0.625,-0.69347592,-0.69505215
ReB2,hP6,P63/mmc,mp-1773,4449,-0.2228,-0.42981648,-0.42013953
ScB2,hP3,P6/mmm,mp-2252,8428,-1.0603,-0.84106919,-0.83846984
TaB2,hP3,P6/mmm,mp-1108,5807,-0.5524,-0.652593,-0.64900102
TbB2,hP3,P6/mmm,mp-965,8471,-0.3545,-0.53102592,-0.30809373
TiB2,hP3,P6/mmm,mp-1145,5808,-1.1349,-1.05740636,-1.06683324
TmB2,hP3,P6/mmm,mp-800,8473,-0.3171,-0.65282273,-0.65122261
VB2,hP3,P6/mmm,mp-1491,109274,-0.7328,-0.74284597,-0.73208942
YB2,hP3,P6/mmm,mp-1542,8475,-0.37,-0.56479997,-0.56358483
B5Gd2,mP28,P121/c1,,,-0.4467,,
B5Nd2,,,,,-0.4032,,
B5Os2,hP6,P63/mmc,,,-0.1182,,
B5Pd2,mS28,C12/c1,,,-0.2653,,
B5W2,hP12,P63/mmc,,,-0.1814,,
CeB4,tP20,P4/mbm,mp-1974,4683,-0.5545,-0.62698238,-0.51932182
LaB4,tP20,P4/mbm,mp-7283,2155,-0.5255,-0.57170034,-0.56834399
NdB4,tP20,P4/mbm,mp-1632,19849,-0.5524,-0.5648665,-0.56388366
PrB4,tP20,P4/mbm,mp-12569,18748,-0.5503,-0.54672396,-0.54576316
YB4,tP20,P4/mbm,mp-637,5124,-0.5421,-0.59063889,-0.58949615
LaB6,cP7,Pm-3m,mp-2680,,-0.5928,-0.56401877,
PrB6,cP7,Pm-3m,mp-12762,,-0.5317,-0.48410568,
C2Mn5,mS28,C12/c1,,,-0.0922,,
C2Mn5,mS28,C12/c1,,,-0.1036,,
C3Cr7,hP80,P63mc,,,-0.1461,,
C3Mn7,hP80,P63mc,,,-0.0943,,
Mo2C,oP16,Pbcn,mp-1552,8050,-0.1202,-0.10295956,-0.11555772
CSc2,cF48,Fd-3m,,,-0.4716,,
Y2C,hR9,R-3m,mp-1334,4155,-0.3296,-0.29194155,-0.29775347
C3V4,hP8,P63mc,,,-0.4177,,
TiC,cF8,Fm-3m,mp-631,1949,-0.9628,-0.80734115,-0.80412494
CeC2,tI6,I4/mmm,mp-2839,13373,-0.2633,-0.1554227,-0.08301998
DyC2,tI6,I4/mmm,mp-541840,7901,-0.2964,-0.19310779,-0.19727318
ErC2,tI6,I4/mmm,mp-1579,4391,-0.2985,-0.19368365,-0.20063332
GdC2,tI6,I4/mmm,mp-12765,19369,-0.257,-0.16630952,-0.18553698
HoC2,,,,,-0.2964,,
LaC2,tI6,I4/mmm,mp-2367,5051,-0.2819,-0.16197667,-0.16385663
LuC2,tI6,I4/mmm,mp-8371,13888,-0.2767,-0.18638216,-0.19246326
NdC2,tI6,I4/mmm,mp-2297,53650,-0.3026,-0.11838131,-0.12456444
PrC2,tI6,I4/mmm,mp-1995,3666,-0.3047,-0.10019788,-0.10602352
SmC2,tI6,I4/mmm,mp-12764,19368,-0.2664,-0.14752258,-0.15356634
TbC2,tI6,I4/mmm,mp-2119,13374,-0.255,-0.18882349,0.02651546
C2Tm,,,,,-0.3265,,
CeSi2,tI12,I4/mcm,,,-0.627,,
CeSi,oP8,Pnma,mp-21115,18278,-0.7369,-0.65310562,-0.71849747
Ce5Si3,tI32,I4/mcm,mp-570175,29191,-0.5472,-0.54661531,-0.55564635
Ga3Co,tP16,P42/mnm,mp-20559,29254,-0.3047,-0.26603952,-0.26709825
CoSi2,cF12,Fm-3m,mp-2379,5256,-0.3617,-0.46811329,-0.47477289
CoSi,cP8,P213,mp-7577,3604,-0.511,-0.61459397,-0.62430027
Co2Si,oP12,Pnma,mp-19905,646168,-0.3928,-0.45288601,-0.46466624
CrSi2,hP9,P6222,mp-1222,,-0.2674,-0.36275147,
CrSi,cP8,P213,mp-7576,3602,-0.3545,-0.29522304,-0.2884598
Cr5Si3,tI32,I4/mcm,mp-7506,3178,-0.3482,-0.31502719,-0.31060762
Cr3Ga,cP8,Pm-3n,mp-1231,29544,-0.1223,-0.04884287,-0.05522517
Cr3Si,cP8,Pm-3n,mp-729,3600,-0.2819,-0.34850978,-0.36159126
Cu3Si,,,,,-0.0632,,
DySi2,oI12,Imma,,,-0.5659,,
DySi,oP8,Pnma,mp-1182,21014,-0.7141,-0.83304592,-0.8317414
Dy5Si3,hP16,P63/mcm,mp-2836,651409,-0.6633,-0.68672013,-0.68469964
ErSi2,hP3,P6/mmm,mp-2145,665784,-0.6488,-0.49372392,-0.49122696
ErSi,oS8,Cmcm,mp-378,2939,-0.8799,-0.82215116,-0.8255611
Er5Si3,hP16,P63/mcm,mp-31167,10339,-0.7328,-0.69769718,-0.7014002
Ga3Fe,tP16,P42/mnm,mp-636368,30160,-0.257,-0.23007081,-0.23789909
FeSi,cP8,P213,mp-871,6697,-0.4001,-0.51035913,-0.51414325
GaMo3,cP8,Pm-3n,mp-2377,30299,-0.172,-0.15113122,-0.15670685
GaPd2,oP12,Pnma,mp-1869,18584,-0.6675,-0.64677807,-0.64203331
Ti2Ga,hP6,P63/mmc,mp-30671,22484,-0.4042,-0.39903784,-0.4449591
Zr2Ga,tI12,I4/mcm,mp-569833,17131,-0.5535,-0.46617369,-0.4660022
Nb5Ga3,tI32,I4/mcm,mp-570293,30301,-0.2747,-0.3216266,-0.3365402
Sc5Ga3,hP16,P63/mcm,mp-17332,,-0.6156,-0.52132614,
GaNi,cP2,Pm-3m,mp-1941,89558,-0.4654,-0.36500987,-0.37624769
GaPd,cP8,P213,,23801,-0.7421,,-0.65903422
GaRh,cP2,Pm-3m,mp-2444,89616,-0.7587,-0.69359272,-0.68984355
GaRu,cP2,Pm-3m,mp-22320,17297,-0.3669,-0.32212428,-0.29821966
YGa,oS8,Cmcm,mp-11420,30366,-0.74,-0.66433596,-0.66682175
Ga2Ru,oF24,Fddd,,,-0.4249,,
YGa2,hP3,P6/mmm,mp-1914,30368,-0.7058,-0.6629153,-0.66099664
Ga5V2,tP14,P4/mbm,,,-0.172,,
Ga3Rh,tP16,P42/mnm,,,-0.4654,,
TmGa3,cP4,Pm-3m,mp-1603,19193,-0.5027,-0.49921012,-0.50422251
GdSi2,oI12,Imma,,,-0.6115,,
GdSi,oP8,Pnma,mp-601371,12494,-0.7835,-0.78330897,-0.82500956
Gd5Si3,hP16,P63/mcm,,30419,-0.7048,,-0.65729056
HfSi,oP8,Pnma,mp-1042,647082,-0.7348,-0.82072508,-0.8201266
Hf3Si2,tP10,P4/mbm,mp-2105,647083,-0.8291,-0.8034006,-0.80117558
HoSi2,oI12,Imma,,,-0.6022,,
HoSi,oS8,Cmcm,mp-12899,19859,-0.8385,-0.82723595,-0.82907496
Ho5Si3,hP16,P63/mcm,mp-13236,30562,-0.7732,-0.69273225,-0.69430109
SiIr,oP8,Pnma,mp-1128,3182,-0.6612,-0.68431045,-0.69033796
SiIr,oP8,Pnma,mp-1128,3182,-0.6675,-0.68431045,-0.69033796
LaSi2,tI12,I4/mcm,,14081,-0.5887,,-0.66589192
LaSi,oP8,Pnma,mp-1860,2938,-0.7659,-0.74327757,-0.73829345
La3Si2,tP10,P4/mbm,mp-10162,8508,-0.6384,-0.63776534,-0.63053424
La5Si3,tI32,I4/mcm,mp-10961,16378,-0.6229,-0.60975188,-0.60340254
LuSi,oS8,Cmcm,mp-1001612,31331,-0.8115,-0.79471601,-0.79627164
Lu5Si3,hP16,P63/mcm,mp-11908,31330,-0.7027,-0.70254819,-0.70342489
MnSi,cP8,P213,mp-1431,3603,-0.4084,-0.46536604,-0.46425079
Mn5Si3,hP16,P63/mcm,mp-1111,,-0.3524,-0.34849914,
Si2Mo,tI6,I4/mmm,mp-2592,17715,-0.4964,-0.490212,-0.49665163
Si3Mo5,tI32,I4/mcm,mp-1332,6653,-0.3959,-0.38982914,-0.39820548
NbSi2,hP9,P6222,mp-2478,,-0.5566,-0.54430792,
Nb5Si3,tI32,I4/mcm,mp-13686,3572,-0.6695,-0.66596324,-0.67982951
NdSi2,oI12,Imma,,,-0.6426,,
NdSi,oP8,Pnma,mp-9967,7934,-0.8157,-0.76401844,-0.76616419
Nd5Si3,tI32,I4/mcm,mp-567735,27253,-0.6457,-0.58656729,-0.58972551
SiNi,oP8,Pnma,mp-351,5883,-0.4394,-0.50192808,-0.5038064
SiNi2,oP12,Pnma,mp-1118,4675,-0.5244,-0.55259568,-0.55906508
Ni5Si2,hP43,P321,,,-0.4674,,
Si3Os2,oP40,Pbcn,mp-16608,83466,-0.3161,-0.45552864,-0.45174752
SiOs,cP8,P213,mp-2488,3181,-0.4146,-0.36805215,-0.36359973
SiPd2,hP9,P-62m,mp-697068,669944,-0.6685,-0.69371833,-0.6909829
SiPd2,hP9,P-62m,mp-697068,669944,-0.6654,-0.69371833,-0.6909829
SiPd3,oP16,Pnma,mp-20622,8197,-0.6001,-0.61338369,-0.60600528
PrSi2,oI12,Imma,,,-0.6374,,
PrSi,oP8,Pnma,mp-9968,7935,-0.8094,-0.74327973,-0.74525461
Pr5Si3,tI32,I4/mcm,,,-0.7006,,
SiPt,oP8,Pnma,mp-696,2257,-0.6156,-0.67142261,-0.67066312
SiPt,oP8,Pnma,mp-696,2257,-0.6177,-0.67142261,-0.67066312
SiPt2,tI6,I4/mmm,mp-1299,14060,-0.6395,-0.72375884,-0.72264214
SiPt2,,,,,-0.6561,,
Re2Si,mP24,P121/c1,mp-669547,10376,-0.1316,0.10865856,-0.09513163
SiRh,oP8,Pnma,mp-818,18901,-0.7773,-0.82274837,-0.82411252
SiRh,,,,,-0.7856,,
SiRh2,oP12,Pnma,mp-20418,8055,-0.6623,-0.72588414,-0.73085926
Si3Ru2,oP40,Pbcn,mp-22192,2149,-0.6291,-0.63734496,-0.624669
SiRu,cP8,P213,mp-189,14277,-0.6022,-0.65174517,-0.63907988
SiRu,,,,,-0.6022,,
ScSi,oS8,Cmcm,mp-9969,7936,-0.853,-0.83644904,-0.83784269
Sc5Si3,hP16,P63/mcm,mp-7822,4475,-0.9317,-0.76833573,-0.76933428
V3Si,cP8,Pm-3n,mp-2567,4182,-0.4809,-0.4647244,-0.46975583
Sm5Si3,hP16,P63/mcm,,31250,-0.6954,,-0.61183675
Ta5Si3,tI32,I4/mcm,mp-1989,3573,-0.3949,-0.61606373,-0.61647648
Tb5Si3,hP16,P63/mcm,mp-206,17347,-0.6322,-0.67495204,-0.26112869
Ti5Si3,hP16,P63/mcm,mp-2108,,-0.7649,-0.76599174,
Tm5Si3,hP16,P63/mcm,,31067,-0.7887,,-0.70337537
V5Si3,tI32,I4/mcm,mp-568671,31069,-0.6115,-0.58859846,-0.57183864
Y5Si3,hP16,P63/mcm,mp-2538,8194,-0.7431,-0.71907995,-0.72101896
Y5Si3,hP16,P63/mcm,mp-2538,8194,-0.8333,-0.71907995,-0.72101896
Zr5Si3,hP16,P63/mcm,mp-568115,31218,-0.7431,-0.81774496,-0.81917994
Si4Ti5,oP36,Pnma,,,-0.8136,,
Si4Zr5,tP36,P41212,mp-1304,3883,-0.9525,-0.90321937,-0.90447382
SmSi,oP8,Pnma,,31066,-0.826,,-0.79741521
TbSi,oP8,Pnma,mp-1924,4359,-0.8385,-0.8316249,-0.50097379
TiSi,oP8,Pnma,mp-7092,8102,-0.7524,-0.76805125,-0.79083582
TmSi,oS8,Cmcm,,31068,-0.8924,,-0.81673222
YSi,oS8,Cmcm,mp-9972,7939,-0.8364,-0.85029844,-0.8523987
ZrSi,oP8,Pnma,mp-893,3569,-0.9794,-0.93338872,-0.9340726
Si2Sm,oI12,Imma,,,-0.6871,,
TaSi2,hP9,P6222,mp-517,8153,-0.4768,-0.47875561,-0.47784741
Si2Tb,oI12,Imma,,,-0.6374,,
TiSi2,oF24,Fddd,mp-2582,1833,-0.5908,-0.55103089,-0.57236762
TmSi2,hP3,P6/mmm,mp-772,657436,-0.6726,-0.4725959,-0.47019623
