formula,heusler type,num_electron,struct type,latt const,tetragonality,e_form,pol fermi,gap width,stability,mu_b,mu_b saturation
Fe2ScGe,Full Heusler,23,L21,5.95,1,-0.246,90.53,No gap,TRUE,0.9044,159.27
Fe2ScSn,Full Heusler,23,L21,6.2048,1.0005,-0.162,86.4,No gap,TRUE,0.8989,139.52
Fe2ScP,Full Heusler,24,L21,5.75,1,-0.484,0,0.342,TRUE,0,0
Fe2ScAs,Full Heusler,24,L21,5.9,1,-0.288,0,0.166,TRUE,0,0
Fe2ScSb,Full Heusler,24,L21,6.15,1,-0.253,0,0.099,TRUE,0.0002,0.03
Fe2TiAl,Full Heusler,23,L21,5.82,1,-0.465,88.76,0.047,TRUE,0.9442,177.67
Fe2TiGa,Full Heusler,23,L21,5.83,1,-0.377,87.03,0.033,TRUE,0.9086,170.1
Fe2TiIn,Full Heusler,23,L21,6.07,1,-0.059,88.28,No gap,TRUE,0.9466,157.01
Fe2TiSi,Full Heusler,24,L21,5.685,1.0001,-0.706,0,0.447,TRUE,0,0
Fe2TiGe,Full Heusler,24,L21,5.78,1,-0.494,0,0.214,TRUE,0,0
Fe2TiSn,Full Heusler,24,L21,6.0338,1,-0.304,0,0.09,TRUE,0.0007,0.12
Fe2TiP,Full Heusler,25,L21,5.65,1,-0.6,100,0.403,TRUE,1,205.68
Fe2TiAs,Full Heusler,25,L21,5.8,1,-0.354,100,0.365,TRUE,1,190.13
Fe2TiSb,Full Heusler,25,L21,6.04,1,-0.264,100,0.304,TRUE,1.0022,168.72
Fe2VAl,Full Heusler,24,L21,5.6925,1.0001,-0.427,0,No gap,TRUE,0,0
Fe2VGa,Full Heusler,24,L21,5.7084,1,-0.299,0,No gap,TRUE,0,0
Fe2VIn,Full Heusler,24,L21,5.9606,0.9999,0.107,0,No gap,FALSE,0,0
Fe2VSi,Full Heusler,25,L21,5.61,1,-0.489,81.91,0.09,TRUE,0.8056,169.26
Fe2VGe,Full Heusler,25,D022,5.59,1.0698,-0.249,78.36,No gap,TRUE,0.8652,171.76
Fe2VSn,Full Heusler,25,L21,5.98,1,-0.02,66.79,No gap,TRUE,0.882,153
Fe2VP,Full Heusler,26,D022,5.181,1.2439,-0.414,0,No gap,TRUE,0,0
Fe2VAs,Full Heusler,26,D022,5.3037,1.253,-0.134,0,No gap,TRUE,0,0
Fe2VSb,Full Heusler,26,L21,5.99,1,0.01,66.39,0.034,FALSE,1.8343,316.6
Fe2CrAl,Full Heusler,25,L21,5.6599,1,-0.167,95.02,0.162,TRUE,0.9978,204.15
Fe2CrGa,Full Heusler,25,L21,5.68,1,-0.033,100,0.138,TRUE,1.0013,202.7
Fe2CrIn,Full Heusler,25,D022,5.462,1.3928,0.302,87.34,No gap,FALSE,0.912,149.06
Fe2CrSi,Full Heusler,26,D022,5.4678,1.0659,-0.266,99.38,0.147,TRUE,2,425.78
Fe2CrGe,Full Heusler,26,D022,5.62,1.0409,-0.031,100,0.28,TRUE,2,401.54
Fe2CrSn,Full Heusler,26,L21,5.9688,0.9999,0.186,99.91,No gap,FALSE,2.0011,349.11
Fe2CrP,Full Heusler,27,D022,5.062,1.3152,-0.245,67.17,No gap,TRUE,1.0625,231.04
Fe2CrAs,Full Heusler,27,D022,5.22,1.3065,0.046,51.19,No gap,FALSE,0.1825,36.43
Fe2CrSb,Full Heusler,27,D022,5.756,1.1068,0.173,99.98,0.228,FALSE,3,527.27
Fe2MnAl,Full Heusler,26,L21,5.6711,1.0002,-0.038,0.01,No gap,TRUE,0.0001,0.02
Fe2MnGa,Full Heusler,26,L21,5.6969,1.0001,-0.075,74.25,0.119,TRUE,2.0329,407.84
Fe2MnIn,Full Heusler,26,D022,5.4,1.4278,0.236,30.29,No gap,FALSE,0.2034,33.56
Fe2MnSi,Full Heusler,27,L21,5.5942,0.9951,-0.34,100,0.432,TRUE,3,638.77
Fe2MnGe,Full Heusler,27,D022,5.7226,0.9839,-0.114,96.99,0.409,TRUE,3.0081,605.16
Fe2MnSn,Full Heusler,27,L21,5.9606,0.9992,0.107,0.23,0.223,FALSE,5.597,981.2
Fe2MnP,Full Heusler,28,L21,5.55,1,-0.321,100,0.351,TRUE,4,867.98
Fe2MnAs,Full Heusler,28,L21,5.7,1,-0.056,94.02,0.371,TRUE,4.006,802.44
Fe2MnSb,Full Heusler,28,L21,5.948,0.9993,0.062,87.28,0.603,FALSE,4.0661,717.31
Fe2FeAl,Full Heusler,27,L21,5.74,1,-0.201,54,No gap,TRUE,5.9605,1169.16
Fe2FeGa,Full Heusler,27,D022,5.43,1.2118,-0.111,56.93,No gap,TRUE,6.6536,1272.21
Fe2FeIn,Full Heusler,27,D022,5.65,1.2354,0.172,46.73,No gap,FALSE,7.1541,1191.05
Fe2FeSi,Full Heusler,28,L21,5.61,1,-0.329,44.51,0.01,TRUE,5.0667,1064.54
Fe2FeGe,Full Heusler,28,L21,5.7155,0.9998,-0.116,48.39,No gap,TRUE,5.2807,1049.36
Fe2FeSn,Full Heusler,28,L21,6.0127,1.0027,0.043,42.85,No gap,FALSE,6.5086,1107.7
Fe2FeP,Full Heusler,29,L21,5.5524,1.0001,-0.289,48.38,No gap,TRUE,5.0315,1090.32
Fe2FeAs,Full Heusler,29,L21,5.74,1,-0.037,0.32,0.005,TRUE,5.764,1130.62
Fe2FeSb,Full Heusler,29,L21,5.987,0.9995,0.058,27.48,No gap,FALSE,6.0872,1052.82
Fe2CoAl,Full Heusler,28,D022,5.056,1.4727,-0.19,64.3,No gap,TRUE,5.8097,1132.27
Fe2CoGa,Full Heusler,28,L21,5.77,1,-0.049,79.39,No gap,TRUE,6.0409,1166.54
Fe2CoIn,Full Heusler,28,L21,6.05,1,0.244,79.59,No gap,FALSE,6.5959,1104.93
Fe2CoSi,Full Heusler,29,L21,5.59,1,-0.226,81.65,No gap,TRUE,4.3846,931.15
Fe2CoGe,Full Heusler,29,D022,5.0578,1.4637,-0.089,54.22,No gap,TRUE,5.5796,1092.94
Fe2CoSn,Full Heusler,29,D022,5.2541,1.4938,0.059,48.36,No gap,FALSE,5.8411,1000.09
Fe2CoP,Full Heusler,30,D022,5.4186,1.0599,-0.202,47.93,No gap,TRUE,3.7875,833.19
Fe2CoAs,Full Heusler,30,L21,5.72,1,0.05,49,0.038,FALSE,4.848,960.95
Fe2CoSb,Full Heusler,30,D022,5.9538,1.0104,0.164,65.86,No gap,FALSE,5.2371,911.03
Fe2NiAl,Full Heusler,29,D022,4.9494,1.5606,-0.27,19.72,No gap,TRUE,4.5692,895.85
Fe2NiGa,Full Heusler,29,D022,4.9986,1.5315,-0.167,32.84,No gap,TRUE,4.7697,924.99
Fe2NiIn,Full Heusler,29,D022,5.2056,1.5535,0.096,64.88,No gap,FALSE,5.1293,868.29
Fe2NiSi,Full Heusler,30,D022,4.9287,1.5014,-0.327,2.56,No gap,TRUE,4.6756,964.86
Fe2NiGe,Full Heusler,30,D022,5.0188,1.5075,-0.165,5.79,No gap,TRUE,4.8274,939.74
Fe2NiSn,Full Heusler,30,D022,5.219,1.5298,-0.042,14.2,No gap,TRUE,4.9502,844.38
Fe2NiP,Full Heusler,31,D022,5.3607,1.1005,-0.236,23.36,No gap,TRUE,3.0197,660.73
Fe2NiAs,Full Heusler,31,D022,5.0354,1.5397,-0.083,4.36,No gap,TRUE,5.5457,1046.53
Fe2NiSb,Full Heusler,31,D022,5.2267,1.54,0.002,30.79,No gap,FALSE,5.3721,906.31
Ru2ScAl,Full Heusler,22,L21,6.2276,0.9991,-0.567,0,No gap,TRUE,0,0
Ru2ScGa,Full Heusler,22,L21,6.24,1,-0.435,0.02,No gap,TRUE,0.0002,0.03
Ru2ScIn,Full Heusler,22,L21,6.4522,1.0016,-0.26,0.02,No gap,TRUE,0.0002,0.03
Ru2ScSi,Full Heusler,23,L21,6.13,1,-0.666,0,No gap,TRUE,0,0
Ru2ScGe,Full Heusler,23,L21,6.216,0.9997,-0.535,0,No gap,TRUE,0,0
Ru2ScSn,Full Heusler,23,L21,6.4312,0.9997,-0.526,0.03,No gap,TRUE,0.0004,0.06
Ru2ScP,Full Heusler,24,L21,6.07,1,-0.66,0,No gap,TRUE,0,0
Ru2ScAs,Full Heusler,24,L21,6.2,1,-0.538,0.01,No gap,TRUE,0,0
Ru2ScSb,Full Heusler,24,L21,6.39,1,-0.605,0.01,No gap,TRUE,0,0
Ru2TiAl,Full Heusler,23,L21,6.0858,1.0002,-0.765,0,No gap,TRUE,0,0
Ru2TiGa,Full Heusler,23,L21,6.1,1,-0.623,0,No gap,TRUE,0,0
Ru2TiIn,Full Heusler,23,L21,6.314,0.9989,-0.347,0,No gap,TRUE,0.0001,0.01
Ru2TiSi,Full Heusler,24,L21,5.9958,1,-0.896,0.01,No gap,TRUE,0,0
Ru2TiGe,Full Heusler,24,L21,6.0797,1.0002,-0.708,0.01,No gap,TRUE,0,0
Ru2TiSn,Full Heusler,24,L21,6.29,1,-0.604,0.01,No gap,TRUE,0,0
Ru2TiP,Full Heusler,25,D022,5.7232,1.1477,-0.612,0,No gap,TRUE,0,0
Ru2TiAs,Full Heusler,25,D022,5.8325,1.1516,-0.454,0,No gap,TRUE,0,0
Ru2TiSb,Full Heusler,25,D022,6.0283,1.1435,-0.457,0,No gap,TRUE,0,0
Ru2VAl,Full Heusler,24,L21,5.9945,1,-0.628,0.02,No gap,TRUE,0,0
Ru2VGa,Full Heusler,24,L21,6.0142,1.0002,-0.458,0,No gap,TRUE,0,0
Ru2VIn,Full Heusler,24,L21,6.2309,0.9998,-0.115,0.01,No gap,TRUE,0,0
Ru2VSi,Full Heusler,25,L21,5.93,1,-0.565,85.07,0.01,TRUE,0.9479,168.63
Ru2VGe,Full Heusler,25,L21,6.0247,1.0005,-0.36,99,0.019,TRUE,1,169.55
Ru2VSn,Full Heusler,25,L21,6.24,1,-0.191,0.84,No gap,TRUE,0.0036,0.55
Ru2VP,Full Heusler,26,D022,5.55,1.218,-0.343,3.35,No gap,TRUE,0.0471,8.39
Ru2VAs,Full Heusler,26,L21,6.07,1,-0.121,96.54,No gap,TRUE,1.928,319.79
Ru2VSb,Full Heusler,26,D022,5.8518,1.2114,-0.118,0.03,No gap,TRUE,0.0002,0.03
Ru2CrAl,Full Heusler,25,L21,5.9697,0.9999,-0.347,92.21,No gap,TRUE,1.071,186.78
Ru2CrGa,Full Heusler,25,L21,5.9937,1.0002,-0.186,90.72,No gap,TRUE,1.1539,198.74
Ru2CrIn,Full Heusler,25,L21,6.22,1,0.157,88.03,No gap,FALSE,1.2682,195.5
Ru2CrSi,Full Heusler,26,L21,5.9221,1,-0.413,97.16,0.313,TRUE,2.0034,357.8
Ru2CrGe,Full Heusler,26,L21,6.0108,1.0001,-0.217,86.97,0.148,TRUE,2.0241,345.73
Ru2CrSn,Full Heusler,26,L21,6.24,1,-0.079,71.39,No gap,TRUE,2.0577,314.16
Ru2CrP,Full Heusler,27,L21,5.92,1,-0.22,96.92,No gap,TRUE,2.9699,531.01
Ru2CrAs,Full Heusler,27,L21,6.05,1,-0.042,95.5,No gap,TRUE,2.9478,493.81
Ru2CrSb,Full Heusler,27,L21,6.2258,1.0087,-0.019,98.62,No gap,TRUE,3.0034,457.73
Ru2MnAl,Full Heusler,26,L21,5.9759,0.9997,-0.399,60.72,No gap,TRUE,2.1106,367
Ru2MnGa,Full Heusler,26,L21,5.996,1,-0.254,62.9,No gap,TRUE,2.1457,369.26
Ru2MnIn,Full Heusler,26,L21,6.2306,0.9999,0.076,70.11,No gap,FALSE,2.2152,339.79
Ru2MnSi,Full Heusler,27,L21,5.9166,0.9996,-0.465,96.58,0.123,TRUE,3.011,539.5
Ru2MnGe,Full Heusler,27,L21,6.0069,1.0001,-0.264,94.43,0.114,TRUE,3.0349,519.35
Ru2MnSn,Full Heusler,27,L21,6.2356,1,-0.134,90.83,0.114,TRUE,3.0859,472.12
Ru2MnP,Full Heusler,28,L21,5.91,1,-0.308,96.13,No gap,TRUE,3.9618,711.96
Ru2MnAs,Full Heusler,28,L21,6.04,1,-0.129,92.31,No gap,TRUE,3.9508,665.12
Ru2MnSb,Full Heusler,28,L21,6.24,1,-0.126,95.58,0.276,TRUE,4.0241,614.39
Ru2FeAl,Full Heusler,27,L21,5.98,1,-0.305,79.09,No gap,TRUE,3.1046,538.55
Ru2FeGa,Full Heusler,27,L21,5.9964,1.0005,-0.149,82.14,No gap,TRUE,3.1606,543.48
Ru2FeIn,Full Heusler,27,L21,6.23,1,0.174,79.37,No gap,FALSE,3.2673,501.25
Ru2FeSi,Full Heusler,28,L21,5.91,1,-0.362,73.14,No gap,TRUE,3.9022,701.25
Ru2FeGe,Full Heusler,28,L21,6.01,1,-0.159,77.06,No gap,TRUE,4.0354,689.59
Ru2FeSn,Full Heusler,28,L21,6.23,1,-0.046,66.57,No gap,TRUE,4.147,636.2
Ru2FeP,Full Heusler,29,L21,5.8963,0.9982,-0.191,70.39,No gap,TRUE,4.1472,751.84
Ru2FeAs,Full Heusler,29,L21,6.02,1,-0.01,81.74,No gap,TRUE,4.2502,722.68
Ru2FeSb,Full Heusler,29,L21,6.22,1,0,71.95,No gap,TRUE,4.388,676.43
Ru2CoAl,Full Heusler,28,L21,5.95,1,-0.152,29.38,No gap,TRUE,2.1645,381.18
Ru2CoGa,Full Heusler,28,L21,5.97,1,0.002,36.96,No gap,FALSE,1.6152,281.6
Ru2CoIn,Full Heusler,28,L21,6.175,0.9969,0.366,1.93,No gap,FALSE,0.2047,32.35
Ru2CoSi,Full Heusler,29,L21,5.87,1,-0.242,27.77,No gap,TRUE,1.9178,351.74
Ru2CoGe,Full Heusler,29,L21,5.96,1,-0.032,24.61,No gap,TRUE,1.9867,348.11
Ru2CoSn,Full Heusler,29,L21,6.1683,0.9986,0.118,48.23,No gap,FALSE,3.0292,479.45
Ru2CoP,Full Heusler,30,L21,5.84,1,-0.151,5.88,No gap,TRUE,2.2273,414.83
Ru2CoAs,Full Heusler,30,L21,5.98,1,0.05,5.98,No gap,FALSE,2.5327,439.35
Ru2CoSb,Full Heusler,30,L21,6.19,1,0.093,57.07,No gap,FALSE,2.8044,438.63
Ru2NiAl,Full Heusler,29,L21,5.94,1,-0.185,0,No gap,TRUE,0,0
Ru2NiGa,Full Heusler,29,L21,5.956,1.0002,-0.048,0,No gap,TRUE,0.0001,0.02
Ru2NiIn,Full Heusler,29,L21,6.183,1.0025,0.295,1.89,No gap,FALSE,0.4478,70.1
Ru2NiSi,Full Heusler,30,L21,5.8584,0.9999,-0.297,2.65,No gap,TRUE,0.2722,50.22
Ru2NiGe,Full Heusler,30,L21,5.9512,0.9999,-0.089,0.5,No gap,TRUE,0.4651,81.87
Ru2NiSn,Full Heusler,30,L21,6.19,1,0.068,34.34,No gap,FALSE,1.798,281.22
Ru2NiP,Full Heusler,31,L21,5.8253,0.9997,-0.232,0,No gap,TRUE,0.0001,0.02
Ru2NiAs,Full Heusler,31,L21,5.96,1,-0.017,0,No gap,TRUE,0.0008,0.14
Ru2NiSb,Full Heusler,31,L21,6.18,1,0.037,33.41,No gap,FALSE,1.6166,254.08
Co2ScAl,Full Heusler,24,L21,5.97,1,-0.51,0.05,No gap,TRUE,0.0001,0.02
Co2ScGa,Full Heusler,24,L21,5.97,1,-0.438,0.03,No gap,TRUE,0.0001,0.02
Co2ScIn,Full Heusler,24,L21,6.21,1,-0.246,0.02,No gap,TRUE,0,0
Co2ScSi,Full Heusler,25,L21,5.87,1,-0.581,100,0.104,TRUE,1,183.41
Co2ScGe,Full Heusler,25,L21,5.9621,0.9999,-0.461,93.33,No gap,TRUE,1.0143,177.56
Co2ScSn,Full Heusler,25,L21,6.21,1,-0.424,87.62,No gap,TRUE,1.0378,160.76
Co2ScP,Full Heusler,26,L21,5.8344,0.9996,-0.552,67.39,0.465,TRUE,2,373.72
Co2ScAs,Full Heusler,26,L21,5.99,1,-0.408,87.34,0.147,TRUE,1.997,344.69
Co2ScSb,Full Heusler,26,L21,6.22,1,-0.414,100,0.295,TRUE,2,308.31
Co2TiAl,Full Heusler,25,L21,5.83,1,-0.621,60.07,0.267,TRUE,1,187.21
Co2TiGa,Full Heusler,25,L21,5.83,1,-0.525,91.02,No gap,TRUE,1.0005,187.3
Co2TiIn,Full Heusler,25,L21,6.07,1,-0.251,88.37,No gap,TRUE,1.0284,170.58
Co2TiSi,Full Heusler,26,L21,5.75,1,-0.669,7.5,0.528,TRUE,2,390.26
Co2TiGe,Full Heusler,26,L21,5.8394,1.0006,-0.505,14.8,0.332,TRUE,2,372.37
Co2TiSn,Full Heusler,26,L21,6.09,1,-0.397,100,0.243,TRUE,2,328.48
Co2TiP,Full Heusler,27,D022,5.22,1.2989,-0.614,22.88,No gap,TRUE,0.9248,185.7
Co2TiAs,Full Heusler,27,D022,5.38,1.277,-0.408,67.19,No gap,TRUE,0.9743,181.76
Co2TiSb,Full Heusler,27,D022,5.78,1.1574,-0.322,7.78,No gap,TRUE,1.2418,206.11
Co2VAl,Full Heusler,26,L21,5.74,1,-0.412,94.88,0.309,TRUE,1.9985,392.01
Co2VGa,Full Heusler,26,L21,5.7561,1,-0.296,100,0.161,TRUE,2,389.03
Co2VIn,Full Heusler,26,L21,6,1,0.017,94.62,0.085,FALSE,2.0031,344.01
Co2VSi,Full Heusler,27,D022,5.21,1.2687,-0.448,51.51,No gap,TRUE,0.9313,192.55
Co2VGe,Full Heusler,27,D022,5.2646,1.2922,-0.263,13.5,No gap,TRUE,0.923,181.6
Co2VSn,Full Heusler,27,L21,6.02,1,-0.092,70.08,0.256,TRUE,3,510.1
Co2VP,Full Heusler,28,D022,4.9881,1.4113,-0.423,0,No gap,TRUE,0.0001,0.02
Co2VAs,Full Heusler,28,D022,5.1288,1.4031,-0.169,0.03,No gap,TRUE,0.0002,0.04
Co2VSb,Full Heusler,28,L21,6.02,1,0.001,9.32,0.38,FALSE,3.6913,627.65
Co2CrAl,Full Heusler,27,L21,5.704,1.0001,-0.233,100,0.441,TRUE,3,599.57
Co2CrGa,Full Heusler,27,L21,5.7241,0.9986,-0.105,94.22,0.138,TRUE,3.0259,599.32
Co2CrIn,Full Heusler,27,L21,5.98,1,0.207,88.65,No gap,FALSE,3.165,549.03
Co2CrSi,Full Heusler,28,L21,5.6335,0.9995,-0.31,100,0.565,TRUE,4,830.36
Co2CrGe,Full Heusler,28,L21,5.74,1,-0.111,100,0.29,TRUE,4,784.61
Co2CrSn,Full Heusler,28,L21,5.99,1,0.016,91.25,0.118,FALSE,4.019,693.69
Co2CrP,Full Heusler,29,D022,4.95,1.4121,-0.268,29.41,No gap,TRUE,1.2939,280.25
Co2CrAs,Full Heusler,29,D022,5.1204,1.389,-0.015,14.29,No gap,TRUE,1.3838,275.29
Co2CrSb,Full Heusler,29,L21,6.0086,1.0001,0.051,100,0.271,FALSE,5,854.89
Co2MnAl,Full Heusler,28,L21,5.7,1,-0.356,59.7,0.418,TRUE,4.0235,805.95
Co2MnGa,Full Heusler,28,L21,5.7183,1.0002,-0.228,72.89,0.109,TRUE,4.0987,813.01
Co2MnIn,Full Heusler,28,L21,5.9839,0.9998,0.069,2.06,No gap,FALSE,4.4315,767.41
Co2MnSi,Full Heusler,29,L21,5.6301,0.9997,-0.441,100,0.571,TRUE,5,1039.59
Co2MnGe,Full Heusler,29,L21,5.7347,1.0002,-0.248,99.46,0.323,TRUE,5,983.33
Co2MnSn,Full Heusler,29,L21,5.99,1,-0.131,76.76,0.175,TRUE,5.0283,867.9
Co2MnP,Full Heusler,30,L21,5.6382,0.9995,-0.314,100,0.637,TRUE,5.9999,1242.43
Co2MnAs,Full Heusler,30,L21,5.7963,0.9988,-0.126,95.58,0.162,TRUE,5.9966,1143.66
Co2MnSb,Full Heusler,30,L21,6.018,1.0011,-0.087,100,0.395,TRUE,6,1020.09
Co2FeAl,Full Heusler,29,L21,5.7,1,-0.359,74.69,0.009,TRUE,4.991,999.75
Co2FeGa,Full Heusler,29,L21,5.72,1,-0.231,74.39,No gap,TRUE,5.0109,993.24
Co2FeIn,Full Heusler,29,L21,5.98,1,0.065,31.78,0.028,FALSE,5.1132,886.99
Co2FeSi,Full Heusler,30,L21,5.628,0.9992,-0.354,72.34,0.052,TRUE,5.48,1141.24
Co2FeGe,Full Heusler,30,L21,5.74,1,-0.163,67.99,0.043,TRUE,5.6579,1109.8
Co2FeSn,Full Heusler,30,L21,5.9935,1.0033,-0.039,68.56,0.096,TRUE,5.7037,979.57
Co2FeP,Full Heusler,31,D022,5.1947,1.2352,-0.247,6.49,No gap,TRUE,4.6553,997.36
Co2FeAs,Full Heusler,31,D022,5.38,1.2193,-0.038,11.48,No gap,TRUE,5.0427,985.19
Co2FeSb,Full Heusler,31,D022,5.63,1.1918,0.029,14.9,No gap,FALSE,4.8951,853.79
Co2CoAl,Full Heusler,30,L21,5.68,1,-0.22,67.49,No gap,TRUE,4.0336,816.54
Co2CoGa,Full Heusler,30,L21,5.7,1,-0.09,69.43,No gap,TRUE,4.0989,821.05
Co2CoIn,Full Heusler,30,L21,5.97,1,0.209,74.43,No gap,FALSE,4.3081,751.09
Co2CoSi,Full Heusler,31,D022,5.07,1.3156,-0.285,62.54,No gap,TRUE,2.8601,618.82
Co2CoGe,Full Heusler,31,L21,5.7,1,-0.056,63.59,0.01,TRUE,3.9626,793.75
Co2CoSn,Full Heusler,31,L21,5.9636,0.994,0.079,69.03,No gap,FALSE,3.9941,702.78
Co2CoP,Full Heusler,32,D022,4.95,1.3717,-0.239,35.09,No gap,TRUE,2.3689,528.19
Co2CoAs,Full Heusler,32,D022,5.09,1.3733,-0.008,28.67,No gap,TRUE,2.623,537.29
Co2CoSb,Full Heusler,32,D022,5.33,1.349,0.065,51.48,No gap,FALSE,2.5396,461.22
Co2NiAl,Full Heusler,31,D022,5.042,1.4259,-0.249,72.15,No gap,TRUE,2.8742,583.37
Co2NiGa,Full Heusler,31,D022,5.0864,1.4034,-0.132,71.81,No gap,TRUE,2.9236,587.29
Co2NiIn,Full Heusler,31,D022,5.2768,1.4358,0.138,75.21,No gap,FALSE,3.1205,548.73
Co2NiSi,Full Heusler,32,D022,5.1124,1.2842,-0.313,51.5,No gap,TRUE,1.966,424.99
Co2NiGe,Full Heusler,32,D022,5.1942,1.2979,-0.125,51.51,No gap,TRUE,2.106,429.55
Co2NiSn,Full Heusler,32,D022,5.3867,1.3281,0.003,54.29,No gap,FALSE,2.266,404.94
Co2NiP,Full Heusler,33,D022,5.0729,1.274,-0.253,67.99,No gap,TRUE,1.316,293.51
Co2NiAs,Full Heusler,33,D022,5.2064,1.2837,-0.036,69.92,No gap,TRUE,1.4897,305.05
Co2NiSb,Full Heusler,33,D022,5.4176,1.2808,0.016,68.98,No gap,FALSE,1.2362,225.17
Rh2ScAl,Full Heusler,24,L21,6.24,1,-1.098,0,No gap,TRUE,0,0
Rh2ScGa,Full Heusler,24,L21,6.25,1,-0.982,0,No gap,TRUE,0,0
Rh2ScIn,Full Heusler,24,L21,6.454,0.9994,-0.848,0,No gap,TRUE,0,0
Rh2ScSi,Full Heusler,25,D022,5.91,1.1387,-0.964,0,No gap,TRUE,0,0
Rh2ScGe,Full Heusler,25,D022,5.96,1.1577,-0.885,0,No gap,TRUE,0,0
Rh2ScSn,Full Heusler,25,D022,6.1842,1.1374,-0.928,0,No gap,TRUE,0,0
Rh2ScP,Full Heusler,26,D022,5.63,1.3126,-0.844,0,No gap,TRUE,0,0
Rh2ScAs,Full Heusler,26,D022,5.75,1.3043,-0.772,0,No gap,TRUE,0,0
Rh2ScSb,Full Heusler,26,D022,6.02,1.2342,-0.826,0,No gap,TRUE,0,0
Rh2TiAl,Full Heusler,25,D022,5.8845,1.1227,-1.01,0,No gap,TRUE,0,0
Rh2TiGa,Full Heusler,25,D022,5.8319,1.1589,-0.887,0,No gap,TRUE,0,0
Rh2TiIn,Full Heusler,25,D022,6.03,1.1559,-0.686,0,No gap,TRUE,0,0
Rh2TiSi,Full Heusler,26,D022,5.6,1.2643,-0.9,0.01,No gap,TRUE,0,0
Rh2TiGe,Full Heusler,26,D022,5.6423,1.283,-0.792,0,No gap,TRUE,0,0
Rh2TiSn,Full Heusler,26,D022,5.88,1.25,-0.762,0.39,No gap,TRUE,0.0022,0.32
