formula,c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti,yield strength,tensile strength,elongation
Fe0.620C0.000953Mn0.000521Si0.00102Cr0.000110Ni0.192Mo0.0176V0.000112Nb0.0000616Co0.146Al0.00318Ti0.0185,0.02,0.05,0.05,0.01,19.7,2.95,0.01,0,0.01,15,0,0.15,1.55,2411.5,2473.5,7
Fe0.623C0.00854Mn0.000104Si0.000203Cr0.147Ni0.0000971Mo0.0179V0.00515N0.00163Nb0.0000614Co0.188W0.00729Al0.000845,0.18,0.01,0.01,13.44,0.01,3.01,0.46,0.04,0.01,19.46,2.35,0.04,0,1123.1,1929.2,8
Fe0.625Mn0.000102Si0.000200Cr0.0936Ni0.129Mo0.00480V0.000110Nb0.0000604Co0.132Al0.00812Ti0.00669,0,0.01,0.01,8.67,13.45,0.82,0.01,0,0.01,13.9,0,0.39,0.57,1736.3,1871.8,
Fe0.634C0.000478Mn0.000523Si0.00102Cr0.000111Ni0.173Mo0.0237V0.000113Nb0.0000619Co0.146Al0.00277Ti0.0176,0.01,0.05,0.05,0.01,17.7,3.95,0.01,0,0.01,15,0,0.13,1.47,2487.3,2514.9,9
Fe0.636C0.000474Mn0.000518Si0.00101Cr0.000109Ni0.188Mo0.00860V0.000112Nb0.0000612Co0.144Al0.00274Ti0.0184,0.01,0.05,0.05,0.01,19.4,1.45,0.01,0,0.01,14.9,0,0.13,1.55,2249.6,2315,8.5
Fe0.636C0.00881Mn0.000203Si0.00972Cr0.135Ni0.00892Mo0.0114V0.000109Nb0.0000600Co0.190Al0.000620,0.19,0.02,0.49,12.56,0.94,1.96,0.01,0,0.01,20.1,0,0.03,0,1328.3,1779.5,19.7
Fe0.644Mn0.000521Si0.00102Cr0.000110Ni0.177Mo0.0215V0.000112Nb0.0000617Co0.126Al0.00234Ti0.0269,0,0.05,0.05,0.01,18.1,3.6,0.01,0,0.01,13,0,0.11,2.25,2501.1,2570,3.7
Fe0.646C0.00479Mn0.00597Si0.00492Cr0.135Ni0.0000980Mo0.0534V0.000113N0.000821Nb0.0000619Co0.148Al0.000640,0.1,0.57,0.24,12.19,0.01,8.9,0.01,0.02,0.01,15.2,0,0.03,0,1228.9,1795.6,2
Fe0.648C0.000453Mn0.0000991Si0.0386Cr0.183Ni0.0195Mo0.000113V0.000107Nb0.0000586Co0.109Al0.000605Ti0.000569,0.01,0.01,1.99,17.5,2.1,0.02,0.01,0,0.01,11.8,0,0.03,0.05,1088.6,1419.3,10
Fe0.648C0.00751Mn0.000103Si0.000201Cr0.158Ni0.0000961Mo0.0288V0.00531N0.00201Nb0.0000607Co0.149Al0.000836,0.16,0.01,0.01,14.56,0.01,4.9,0.48,0.05,0.01,15.6,0,0.04,0,1502,2008.4,11.5
Fe0.650C0.000477Mn0.000522Si0.00102Cr0.000110Ni0.176Mo0.0215V0.000113Nb0.0000617Co0.126Al0.00170Ti0.0225,0.01,0.05,0.05,0.01,18,3.6,0.01,0,0.01,13,0,0.08,1.88,2411.5,2475.8,7.7
Fe0.652Mn0.000522Si0.00102Cr0.000110Ni0.177Mo0.0209V0.000113Nb0.0000617Co0.126Al0.00212Ti0.0194,0,0.05,0.05,0.01,18.1,3.5,0.01,0,0.01,13,0,0.1,1.62,2331.1,2397.7,9.3
Fe0.655C0.00752Mn0.000103Si0.000201Cr0.147Ni0.0000961Mo0.0276V0.00443N0.00161Nb0.0000607Co0.155Al0.000836,0.16,0.01,0.01,13.56,0.01,4.7,0.4,0.04,0.01,16.2,0,0.04,0,1274.7,1949.9,12
Fe0.655Mn0.000522Si0.00102Cr0.000110Ni0.176Mo0.0215V0.00563Nb0.0000617Co0.117Al0.000425Ti0.0228,0,0.05,0.05,0.01,18,3.6,0.5,0,0.01,12,0,0.02,1.9,2402.3,2468.9,8.3
Fe0.656C0.00758Mn0.000104Si0.000203Cr0.156Ni0.0000970Mo0.0424V0.00458N0.00122Nb0.0000613Co0.131Al0.000844,0.16,0.01,0.01,14.24,0.01,7.15,0.41,0.03,0.01,13.6,0,0.04,0,1460.7,2197.9,4
Fe0.656C0.00930Mn0.000102Si0.000199Cr0.152Ni0.00875Mo0.0116V0.000110Nb0.000481Co0.161Al0.000621,0.2,0.01,0.01,14.13,0.92,1.99,0.01,0,0.08,17,0,0.03,0,1243.4,1792.3,20.8
Fe0.657C0.000954Mn0.000522Si0.00102Cr0.000110Ni0.166Mo0.0243V0.00776Nb0.0000617Co0.120Al0.00340Ti0.0189,0.02,0.05,0.05,0.01,17,4.07,0.69,0,0.01,12.3,0,0.16,1.58,2381.6,2436.8,9.7
Fe0.659C0.00747Mn0.000102Si0.0134Cr0.156Ni0.0000955Mo0.0297V0.00451N0.000800Nb0.0000603Co0.128Al0.000831,0.16,0.01,0.67,14.5,0.01,5.09,0.41,0.02,0.01,13.41,0,0.04,0,1412.5,2129,4
Fe0.660C0.000484Mn0.000106Si0.000207Cr0.000112Ni0.148Mo0.0364V0.000114Nb0.0000625Co0.146Al0.000646Ti0.00752,0.01,0.01,0.01,0.01,15,6.02,0.01,0,0.01,14.8,0,0.03,0.62,1603.3,1751.6,10.3
Fe0.661C0.000454Mn0.0000993Si0.0375Cr0.164Ni0.0381Mo0.000114V0.000107Nb0.0000587Co0.0972Al0.000606Ti0.000684,0.01,0.01,1.93,15.6,4.1,0.02,0.01,0,0.01,10.5,0,0.03,0.06,1185.1,1453.8,18
Fe0.661C0.000475Mn0.000520Si0.00102Cr0.000110Ni0.170Mo0.0247V0.000112Nb0.0000615Co0.111Al0.0131Ti0.0177,0.01,0.05,0.05,0.01,17.5,4.15,0.01,0,0.01,11.5,0,0.62,1.48,2510.3,2570,7.7
Fe0.662C0.000477Mn0.000521Si0.00102Cr0.000110Ni0.168Mo0.0236V0.000112Nb0.0000616Co0.119Al0.00488Ti0.0213,0.01,0.05,0.05,0.01,17.2,3.95,0.01,0,0.01,12.2,0,0.23,1.78,2372.4,2441.3,8.7
Fe0.663C0.00329Mn0.000103Si0.000201Cr0.169Ni0.0000963Mo0.0294V0.00455N0.00121Nb0.0000608Co0.129Al0.000629,0.07,0.01,0.01,15.54,0.01,4.99,0.41,0.03,0.01,13.41,0,0.03,0,1312.6,2011.9,11.5
Fe0.664C0.00751Mn0.00575Si0.000201Cr0.157Ni0.0000961Mo0.0301V0.00454N0.00121Nb0.0000607Co0.128Al0.00105,0.16,0.56,0.01,14.46,0.01,5.12,0.41,0.03,0.01,13.41,0,0.05,0,1350.4,2039.4,12
Fe0.664C0.00754Mn0.000103Si0.000604Cr0.152Ni0.0105Mo0.0292V0.000111Nb0.00164Co0.134Al0.000629,0.16,0.01,0.03,13.99,1.09,4.95,0.01,0,0.27,13.94,0,0.03,0,1169.4,1603.4,21.8
Fe0.664C0.00926Mn0.000101Si0.0101Cr0.134Ni0.00900Mo0.0114V0.000109Nb0.000479Co0.161Al0.000618,0.2,0.01,0.51,12.51,0.95,1.97,0.01,0,0.08,17.06,0,0.03,0,1322.1,1770.7,17.8
Fe0.665C0.000468Mn0.000102Si0.000200Cr0.121Ni0.0768Mo0.0293V0.000110Nb0.0000606Co0.0823Al0.0254Ti0.000118,0.01,0.01,0.01,11.14,8.01,4.99,0.01,0,0.01,8.62,0,1.22,0.01,1870.6,1970.6,11.5
Fe0.666C0.000482Mn0.000105Si0.000206Cr0.000111Ni0.149Mo0.0308V0.000114Nb0.0000623Co0.150Al0.000644Ti0.00242,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0,0.01,15.3,0,0.03,0.2,1580,1675.6,13.6
Fe0.666C0.00702Mn0.000102Si0.000200Cr0.157Ni0.0000958Mo0.0296V0.00508N0.00602Nb0.0000605Co0.129Al0.00104,0.15,0.01,0.01,14.48,0.01,5.06,0.46,0.15,0.01,13.49,0,0.05,0,1164.4,2032.6,4
Fe0.666C0.00751Mn0.000103Si0.000201Cr0.155Ni0.0000960Mo0.0299V0.00963N0.00161Nb0.0000607Co0.129Al0.00104,0.16,0.01,0.01,14.34,0.01,5.09,0.87,0.04,0.01,13.45,0,0.05,0,1550.3,2122.1,12
Fe0.667C0.000477Mn0.000522Si0.00102Cr0.000110Ni0.171Mo0.0233V0.000113Nb0.0000617Co0.115Al0.00361Ti0.0184,0.01,0.05,0.05,0.01,17.5,3.9,0.01,0,0.01,11.8,0,0.17,1.54,2381.6,2436.8,9.3
Fe0.667C0.00984Mn0.000102Si0.000200Cr0.158Ni0.0000959Mo0.0295V0.00453N0.000804Nb0.0000606Co0.129Al0.00104,0.21,0.01,0.01,14.6,0.01,5.02,0.41,0.02,0.01,13.48,0,0.05,0,1405.6,2122.1,12
Fe0.667C0.00984Mn0.000102Si0.000200Cr0.158Ni0.0000959Mo0.0295V0.00508N0.000804Nb0.0000606Co0.128Al0.00104,0.21,0.01,0.01,14.58,0.01,5.02,0.46,0.02,0.01,13.45,0,0.05,0,1529.6,2108.3,12
Fe0.668C0.000469Mn0.000102Si0.000200Cr0.119Ni0.0764Mo0.0293V0.000110Nb0.0000606Co0.0817Al0.0252Ti0.000118,0.01,0.01,0.01,10.96,7.97,5,0.01,0,0.01,8.55,0,1.21,0.01,1825.8,1953.3,11
Fe0.668C0.00972Mn0.00435Si0.00990Cr0.134Ni0.0112Mo0.0119V0.000109Nb0.0000598Co0.150Al0.000618,0.21,0.43,0.5,12.53,1.18,2.06,0.01,0,0.01,15.95,0,0.03,0,1352.2,1839.4,19
Fe0.668Mn0.000102Si0.000200Cr0.119Ni0.0767Mo0.0292V0.000111Nb0.0000606Co0.0813Al0.0248Ti0.000235,0,0.01,0.01,10.97,7.99,4.98,0.01,0,0.01,8.51,0,1.19,0.02,1837.9,1949.8,12.5
Fe0.669C0.00331Mn0.00590Si0.00648Cr0.129Ni0.0000969Mo0.0375V0.000112N0.00203Nb0.0000612Co0.147Al0.000632,0.07,0.57,0.32,11.76,0.01,6.32,0.01,0.05,0.01,15.2,0,0.03,0,1133.4,1931.2,13.4
Fe0.669C0.00929Mn0.000102Si0.000596Cr0.151Ni0.0000950Mo0.0115V0.000110Nb0.000480Co0.157Al0.000620,0.2,0.01,0.03,14.09,0.01,1.98,0.01,0,0.08,16.62,0,0.03,0,1358.2,1841.4,13.8
Fe0.669C0.00957Mn0.0000996Si0.0388Cr0.132Ni0.00876Mo0.0113V0.000107Nb0.000471Co0.129Al0.000608,0.21,0.01,1.99,12.58,0.94,1.98,0.01,0,0.08,13.88,0,0.03,0,1354.2,1769.8,19.1
Fe0.670C0.00439Mn0.00704Si0.00563Cr0.138Ni0.0000999Mo0.000122V0.000115N0.00126Nb0.0000631Co0.147W0.0255Al0.000652,0.09,0.66,0.27,12.28,0.01,0.02,0.01,0.03,0.01,14.8,8,0.03,0,1081.1,1678.6,5.8
Fe0.670C0.00564Mn0.000103Si0.000201Cr0.158Ni0.0000963Mo0.0300V0.00477N0.00121Nb0.0000608Co0.129Al0.000628,0.12,0.01,0.01,14.52,0.01,5.09,0.43,0.03,0.01,13.48,0,0.03,0,1515.8,2101.5,6
Fe0.670C0.00798Mn0.000103Si0.000201Cr0.155Ni0.0000961Mo0.0299V0.00454N0.00121Nb0.0000607Co0.131Al0.000627,0.17,0.01,0.01,14.26,0.01,5.09,0.41,0.03,0.01,13.64,0,0.03,0,1502,2094.6,11
Fe0.671C0.000470Mn0.000514Si0.00100Cr0.000109Ni0.141Mo0.00882V0.000111Nb0.0000607Co0.147Al0.0159Ti0.0137,0.01,0.05,0.05,0.01,14.7,1.5,0.01,0,0.01,15.3,0,0.76,1.16,2157.3,2239.3,8.5
Fe0.671C0.00189Mn0.00569Si0.00547Cr0.134Ni0.0000969Mo0.0347V0.000112N0.00122Nb0.0000612Co0.145Al0.000632,0.04,0.55,0.27,12.29,0.01,5.85,0.01,0.03,0.01,15,0,0.03,0,1287.4,1891.1,11
Fe0.671C0.00376Mn0.000103Si0.000201Cr0.157Ni0.0000962Mo0.0294V0.00510N0.00282Nb0.0000608Co0.130Al0.000628,0.08,0.01,0.01,14.48,0.01,4.99,0.46,0.07,0.01,13.56,0,0.03,0,1311.4,2016.5,13.3
Fe0.671C0.00925Mn0.00516Si0.0103Cr0.135Ni0.00965Mo0.0115V0.000109Nb0.0000598Co0.147Al0.000618,0.2,0.51,0.52,12.66,1.02,1.99,0.01,0,0.01,15.56,0,0.03,0,1245.4,1754.6,18.5
Fe0.672C0.00473Mn0.00527Si0.00647Cr0.131Ni0.0000968Mo0.0373V0.000111N0.00162Nb0.0000611Co0.141Al0.000631,0.1,0.51,0.32,12,0.01,6.3,0.01,0.04,0.01,14.6,0,0.03,0,1155,1848,13.4
Fe0.672C0.00564Mn0.000103Si0.000201Cr0.156Ni0.0000962Mo0.0294V0.00454N0.00121Nb0.0000608Co0.129Al0.00105,0.12,0.01,0.01,14.4,0.01,4.99,0.41,0.03,0.01,13.45,0,0.05,0,1322.9,1984.3,16
Fe0.673C0.000475Mn0.000104Si0.000203Cr0.000110Ni0.144Mo0.0149V0.000112Nb0.0000614Co0.145Al0.000635Ti0.0215,0.01,0.01,0.01,0.01,14.8,2.5,0.01,0,0.01,15,0,0.03,1.8,1571.2,1701.7,10.6
Fe0.673C0.000475Mn0.000104Si0.000203Cr0.000110Ni0.180Mo0.0286V0.00482Nb0.0000614Co0.0842Al0.0201Ti0.00858,0.01,0.01,0.01,0.01,18.5,4.8,0.43,0,0.01,8.7,0,0.95,0.72,1288.4,1453.8,20
Fe0.673C0.000908Mn0.0000992Si0.0361Cr0.167Ni0.0372Mo0.000114V0.000107Nb0.0000587Co0.0851Al0.000404Ti0.000569,0.02,0.01,1.86,15.9,4,0.02,0.01,0,0.01,9.2,0,0.02,0.05,1143.7,1350.4,17
Fe0.674C0.00752Mn0.000103Si0.000201Cr0.156Ni0.0000961Mo0.0303V0.000111N0.00121Nb0.0000607Co0.129Al0.00146,0.16,0.01,0.01,14.36,0.01,5.15,0.01,0.03,0.01,13.45,0,0.07,0,1460.7,2067,12
Fe0.674C0.00925Mn0.00516Si0.0101Cr0.135Ni0.00975Mo0.0115V0.000109Nb0.0000598Co0.145Al0.000618,0.2,0.51,0.51,12.59,1.03,1.98,0.01,0,0.01,15.4,0,0.03,0,1300.3,1741.5,17.9
Fe0.674C0.0112Mn0.000102Si0.000199Cr0.0957Ni0.0829Mo0.00874V0.00307Nb0.0000602Co0.123Al0.000622Ti0.000234,0.24,0.01,0.01,8.9,8.7,1.5,0.28,0,0.01,13,0,0.03,0.02,1309.1,1757,14.3
Fe0.675C0.00705Mn0.000103Si0.000201Cr0.157Ni0.0000962Mo0.0294V0.000111Nb0.0000608Co0.129Al0.00105,0.15,0.01,0.01,14.5,0.01,5,0.01,0,0.01,13.5,0,0.05,0,1338,1792.7,14.1
Fe0.676C0.000475Mn0.000104Si0.000203Cr0.000110Ni0.180Mo0.0279V0.000112Nb0.0000614Co0.0852Al0.0216Ti0.00846,0.01,0.01,0.01,0.01,18.5,4.7,0.01,0,0.01,8.8,0,1.02,0.71,1309.1,1495.1,19
Fe0.677C0.000478Mn0.000104Si0.000204Cr0.000110Ni0.146Mo0.0188V0.000113Nb0.0000617Co0.149Al0.000638Ti0.00839,0.01,0.01,0.01,0.01,14.9,3.15,0.01,0,0.01,15.3,0,0.03,0.7,1669.3,1726.8,10.8
Fe0.677C0.00916Mn0.000100Si0.0294Cr0.134Ni0.00881Mo0.0113V0.000108Nb0.000474Co0.129Al0.000611,0.2,0.01,1.5,12.63,0.94,1.98,0.01,0,0.08,13.83,0,0.03,0,1382.2,1764.8,18.5
Fe0.678C0.000464Mn0.000102Si0.000199Cr0.0873Ni0.114Mo0.000116V0.000110Nb0.0000600Co0.0992Al0.00806Ti0.0129,0.01,0.01,0.01,8.14,11.95,0.02,0.01,0,0.01,10.48,0,0.39,1.11,1768,1828.6,
Fe0.678C0.00421Mn0.00645Si0.00741Cr0.133Ni0.0000958Mo0.0233V0.000110N0.00161Nb0.0000605Co0.145Al0.000625,0.09,0.63,0.37,12.3,0.01,3.97,0.01,0.04,0.01,15.2,0,0.03,0,1131.9,1595.4,13.4
Fe0.679C0.00705Mn0.000103Si0.000201Cr0.153Ni0.00135Mo0.0282V0.00233Nb0.0000608Co0.128Al0.000628,0.15,0.01,0.01,14.13,0.14,4.8,0.21,0,0.01,13.33,0,0.03,0,1341.7,1745.5,18.5
Fe0.680Mn0.000102Si0.000199Cr0.127Ni0.0976Mo0.00856V0.000110Nb0.0000601Co0.0709Al0.00891Ti0.00654,0,0.01,0.01,11.85,10.25,1.47,0.01,0,0.01,7.48,0,0.43,0.56,1586.7,1671.3,
Fe0.680Mn0.000104Si0.000204Cr0.111Ni0.0680Mo0.0327V0.000112N0.000408Nb0.0000616Co0.106Al0.000636,0,0.01,0.01,10.09,6.98,5.48,0.01,0.01,0.01,10.96,0,0.03,0,1373.9,1640.2,11.4
Fe0.681C0.000478Mn0.000104Si0.000204Cr0.000110Ni0.181Mo0.0293V0.00439Nb0.0000618Co0.0847Al0.0108Ti0.00779,0.01,0.01,0.01,0.01,18.5,4.9,0.39,0,0.01,8.7,0,0.51,0.65,1164.4,1371.1,22
Fe0.681C0.00744Mn0.000102Si0.000199Cr0.154Ni0.0000952Mo0.0175V0.0106N0.00120Nb0.0000601Co0.126Al0.00104,0.16,0.01,0.01,14.36,0.01,3.01,0.97,0.03,0.01,13.33,0,0.05,0,1240.2,1598.5,14
Fe0.681C0.00877Mn0.00464Si0.00968Cr0.135Ni0.00898Mo0.00861V0.000109Nb0.0000597Co0.142Al0.000617,0.19,0.46,0.49,12.67,0.95,1.49,0.01,0,0.01,15.1,0,0.03,0,1250.8,1737.4,18.1
Fe0.682C0.00515Mn0.000102Si0.000200Cr0.0995Ni0.0355Mo0.0117V0.00552Nb0.0000605Co0.159Al0.000625Ti0.000353,0.11,0.01,0.01,9.2,3.7,2,0.5,0,0.01,16.7,0,0.03,0.03,1453.8,1701.8,17
Fe0.682C0.00877Mn0.000202Si0.00967Cr0.134Ni0.00907Mo0.00861V0.00501Nb0.0000597Co0.142Al0.000616,0.19,0.02,0.49,12.54,0.96,1.49,0.46,0,0.01,15.1,0,0.03,0,1241,1719.7,18.5
Fe0.682C0.00925Mn0.000101Si0.0101Cr0.134Ni0.00899Mo0.0115V0.000109Nb0.000479Co0.143Al0.000618,0.2,0.01,0.51,12.51,0.95,1.98,0.01,0,0.08,15.16,0,0.03,0,1314.2,1775.6,15.3
Fe0.683C0.00704Mn0.000103Si0.000201Cr0.156Ni0.0000961Mo0.0299V0.00454N0.00121Nb0.0000607Co0.117Al0.000836,0.15,0.01,0.01,14.36,0.01,5.09,0.41,0.03,0.01,12.23,0,0.04,0,1471,1939.6,12.5
Fe0.683C0.00749Mn0.000102Si0.000200Cr0.156Ni0.0000958Mo0.0309V0.00453N0.00522Nb0.0000605Co0.112Al0.000834,0.16,0.01,0.01,14.4,0.01,5.28,0.41,0.13,0.01,11.74,0,0.04,0,1646.7,2149.7,10
Fe0.683C0.00925Mn0.000202Si0.00969Cr0.134Ni0.00890Mo0.0114V0.000109Nb0.000120Co0.142Al0.000618,0.2,0.02,0.49,12.55,0.94,1.97,0.01,0,0.02,15.08,0,0.03,0,1258.6,1738.3,16.9
Fe0.684C0.00699Mn0.000102Si0.000199Cr0.155Ni0.0000953Mo0.0177V0.00450N0.00120Nb0.0000602Co0.130Al0.000622,0.15,0.01,0.01,14.36,0.01,3.04,0.41,0.03,0.01,13.64,0,0.03,0,1233.3,1612.3,14
Fe0.684C0.00795Mn0.000102Si0.000200Cr0.156Ni0.0000957Mo0.0306V0.00452N0.00481Nb0.0000604Co0.109Al0.00271,0.17,0.01,0.01,14.48,0.01,5.22,0.41,0.12,0.01,11.41,0,0.13,0,1536.5,2135.9,10
Fe0.684C0.00920Mn0.000101Si0.0197Cr0.134Ni0.00885Mo0.0114V0.00228Nb0.000476Co0.129Al0.000614,0.2,0.01,1,12.6,0.94,1.98,0.21,0,0.08,13.77,0,0.03,0,1344.4,1736.9,17.8
Fe0.685C0.00877Mn0.000101Si0.00967Cr0.134Ni0.00907Mo0.00855V0.00359Nb0.0000597Co0.141Al0.000617,0.19,0.01,0.49,12.53,0.96,1.48,0.33,0,0.01,14.95,0,0.03,0,1218.4,1738.3,19.3
Fe0.685C0.0101Mn0.000101Si0.0199Cr0.134Ni0.00884Mo0.0114V0.000108Nb0.000475Co0.129Al0.000614,0.22,0.01,1.01,12.61,0.94,1.98,0.01,0,0.08,13.78,0,0.03,0,1383.7,1773.6,16.2
