formula,c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti,yield strength,tensile strength,elongation
Fe0.771Mn0.00122Si0.00140Cr0.107Ni0.100Mo0.0123V0.000110Nb0.0000603Co0.0000950Al0.00477Ti0.00257,0,0.12,0.07,9.9,10.5,2.1,0.01,0,0.01,0.01,0,0.23,0.22,1150.6,1202.6,17
Fe0.772C0.0169Mn0.00226Si0.000201Cr0.0732Ni0.0000961Mo0.0338V0.0106Nb0.0000607Co0.0905Al0.000627,0.36,0.22,0.01,6.75,0.01,5.75,0.96,0,0.01,9.46,0,0.03,0,1846.5,2177.2,6
Fe0.773C0.000933Mn0.000612Si0.00259Cr0.112Ni0.0945Mo0.0126V0.000110Nb0.0000603Co0.0000950Al0.00187Ti0.00152,0.02,0.06,0.13,10.4,9.9,2.15,0.01,0,0.01,0.01,0,0.09,0.13,1005.9,1033.5,21
Fe0.773C0.00141Mn0.000512Si0.00220Cr0.0812Ni0.116Mo0.0179V0.000110Nb0.0000606Co0.0000955Al0.00522Ti0.00235,0.03,0.05,0.11,7.5,12.1,3.05,0.01,0,0.01,0.01,0,0.25,0.2,1218.8,1260.2,18
Fe0.774Mn0.000511Si0.000599Cr0.111Ni0.0985Mo0.0120V0.000110Nb0.0000604Co0.0000952Al0.00187Ti0.00105,0,0.05,0.03,10.3,10.3,2.06,0.01,0,0.01,0.01,0,0.09,0.09,1032.1,1063.1,20
Fe0.777C0.000470Mn0.000719Si0.00201Cr0.0836Ni0.115Mo0.0178V0.000111Nb0.0000607Co0.0000958Al0.00167Ti0.000707,0.01,0.07,0.1,7.7,12,3.02,0.01,0,0.01,0.01,0,0.08,0.06,1010.8,1041.1,19
Fe0.777C0.00140Mn0.000102Si0.000199Cr0.122Ni0.0824Mo0.000117V0.000110Nb0.0000603Co0.0000950W0.00561Al0.00810Ti0.00316,0.03,0.01,0.01,11.3,8.64,0.02,0.01,0,0.01,0.01,1.84,0.39,0.27,1194,1259,10.8
Fe0.778C0.000465Mn0.000813Si0.00238Cr0.0966Ni0.0808Mo0.0189V0.000110Nb0.0000601Co0.0000947Al0.0186Ti0.00268,0.01,0.08,0.12,9,8.5,3.25,0.01,0,0.01,0.01,0,0.9,0.23,1462.7,1533,12
Fe0.778C0.000931Mn0.000611Si0.00159Cr0.0796Ni0.0981Mo0.0189V0.000110Nb0.0000602Co0.0000949Al0.0189Ti0.00269,0.02,0.06,0.08,7.4,10.3,3.25,0.01,0,0.01,0.01,0,0.91,0.23,1555.8,1598.5,12
Fe0.778Mn0.00122Si0.00159Cr0.112Ni0.0876Mo0.0115V0.000110Nb0.0000602Co0.0000949Al0.00539Ti0.00245,0,0.12,0.08,10.4,9.2,1.97,0.01,0,0.01,0.01,0,0.26,0.21,1207.8,1223.7,16
Fe0.779C0.000946Mn0.000103Si0.000202Cr0.000109Ni0.173Mo0.0184V0.0100Nb0.0000611Co0.0000964Al0.00147Ti0.0166,0.02,0.01,0.01,0.01,17.9,3.1,0.9,0,0.01,0.01,0,0.07,1.4,1730.2,1819.5,10
Fe0.779C0.00139Mn0.000101Si0.000198Cr0.114Ni0.0973Mo0.000116V0.000109Nb0.0000597Co0.0000941Al0.00432Ti0.00359,0.03,0.01,0.01,10.7,10.3,0.02,0.01,0,0.01,0.01,0,0.21,0.31,1125,1217.5,15.4
Fe0.779C0.00141Mn0.000103Si0.000201Cr0.000109Ni0.174Mo0.0130V0.000111Nb0.0000608Co0.0000959Al0.00209Ti0.0295,0.03,0.01,0.01,0.01,18.1,2.2,0.01,0,0.01,0.01,0,0.1,2.5,2006,2130,5
Fe0.779C0.00141Mn0.000103Si0.000201Cr0.000109Ni0.174Mo0.0130V0.000111Nb0.0000608Co0.0000959Al0.00230Ti0.0295,0.03,0.01,0.01,0.01,18.1,2.2,0.01,0,0.01,0.01,0,0.11,2.5,2005.5,2129.5,5
Fe0.780C0.000457Mn0.000599Si0.0504Cr0.000106Ni0.166Mo0.000114V0.000108Nb0.0000591Co0.0000931Al0.00102Ti0.000802,0.01,0.06,2.58,0.01,17.8,0.02,0.01,0,0.01,0.01,0,0.05,0.07,1309.1,1374.6,16
Fe0.780C0.000465Mn0.00122Si0.00159Cr0.105Ni0.0953Mo0.00991V0.000110Nb0.0000602Co0.0000949Al0.00414Ti0.00222,0.01,0.12,0.08,9.8,10,1.7,0.01,0,0.01,0.01,0,0.2,0.19,1087,1130.2,15.4
Fe0.780C0.000467Mn0.000510Si0.00200Cr0.0830Ni0.0993Mo0.0179V0.000110Nb0.0000603Co0.0000951Al0.0139Ti0.00234,0.01,0.05,0.1,7.7,10.4,3.07,0.01,0,0.01,0.01,0,0.67,0.2,1475.8,1529.6,16
Fe0.781C0.000475Mn0.000104Si0.000203Cr0.000110Ni0.173Mo0.0184V0.0112Nb0.0000613Co0.0000967W0.00102Al0.00106Ti0.0131,0.01,0.01,0.01,0.01,17.8,3.1,1,0,0.01,0.01,0.33,0.05,1.1,1688.1,1750.1,12
Fe0.781C0.00141Mn0.000103Si0.000201Cr0.000109Ni0.167Mo0.000118V0.0200Nb0.0152Co0.0000960Al0.00210Ti0.0126,0.03,0.01,0.01,0.01,17.3,0.02,1.8,0,2.5,0.01,0,0.1,1.07,1730.2,1771.4,8
Fe0.782C0.0181Mn0.00187Si0.000203Cr0.0816Ni0.0000973Mo0.0576V0.0108Nb0.0000615Co0.0476Al0.000635,0.38,0.18,0.01,7.43,0.01,9.67,0.96,0,0.01,4.91,0,0.03,0,1577.8,1943,3
Fe0.783C0.0187Mn0.00184Si0.000200Cr0.104Ni0.0000955Mo0.0341V0.0106Nb0.0000603Co0.0463Al0.000623,0.4,0.18,0.01,9.69,0.01,5.84,0.96,0,0.01,4.87,0,0.03,0,1798.3,2135.9,6
Fe0.784C0.000919Mn0.00100Si0.0397Cr0.000106Ni0.173Mo0.000115V0.000108Nb0.0000594Co0.0000936Al0.000614,0.02,0.1,2.02,0.01,18.4,0.02,0.01,0,0.01,0.01,0,0.03,0,1298.8,1343.6,15
Fe0.785C0.000467Mn0.000511Si0.00180Cr0.0820Ni0.0985Mo0.0178V0.000110Nb0.0000604Co0.0000952Al0.0108Ti0.00235,0.01,0.05,0.09,7.6,10.3,3.05,0.01,0,0.01,0.01,0,0.52,0.2,1383.5,1424.9,15
Fe0.785C0.000931Mn0.000102Si0.000199Cr0.000108Ni0.167Mo0.000117V0.0209Nb0.0000602Co0.0000949Al0.00187Ti0.0241,0.02,0.01,0.01,0.01,17.5,0.02,1.9,0,0.01,0.01,0,0.09,2.06,1730.2,1943.5,6
Fe0.786C0.000469Mn0.000512Si0.00120Cr0.0576Ni0.124Mo0.0172V0.000110Nb0.0000606Co0.0000955Al0.0106Ti0.00235,0.01,0.05,0.06,5.32,12.95,2.93,0.01,0,0.01,0.01,0,0.51,0.2,1404.2,1429,15
Fe0.786C0.000473Mn0.000310Si0.000202Cr0.000109Ni0.175Mo0.0182V0.000112Nb0.0000612Co0.0000965Al0.00190Ti0.0167,0.01,0.03,0.01,0.01,18.11,3.07,0.01,0,0.01,0.01,0,0.09,1.41,1641.2,1709.9,10.7
Fe0.787C0.000474Mn0.000207Si0.000203Cr0.000109Ni0.176Mo0.0181V0.000112Nb0.0000612Co0.0000965Al0.00190Ti0.0150,0.01,0.02,0.01,0.01,18.2,3.06,0.01,0,0.01,0.01,0,0.09,1.26,1599.4,1670.1,12.5
Fe0.787C0.0137Mn0.000103Si0.000202Cr0.0111Ni0.101Mo0.0118V0.00111Nb0.0000610Co0.0689W0.00394Al0.000630Ti0.000118,0.29,0.01,0.01,1.02,10.46,2,0.1,0,0.01,7.17,1.28,0.03,0.01,1683,1990,14
Fe0.788Mn0.000104Si0.000203Cr0.000109Ni0.176Mo0.0184V0.000112Nb0.0000613Co0.0000966Al0.00105Ti0.0166,0,0.01,0.01,0.01,18.1,3.1,0.01,0,0.01,0.01,0,0.05,1.4,1716.3,1833.4,13
Fe0.789C0.00143Mn0.000104Si0.000204Cr0.000110Ni0.181Mo0.000119V0.000112Nb0.0000617Co0.0000972W0.00935Al0.00212Ti0.0168,0.03,0.01,0.01,0.01,18.5,0.02,0.01,0,0.01,0.01,3,0.1,1.4,1600,1650,8
Fe0.789Mn0.000719Si0.00161Cr0.0814Ni0.101Mo0.0194V0.000111Nb0.0000607Co0.0000957Al0.00439Ti0.00271,0,0.07,0.08,7.5,10.5,3.3,0.01,0,0.01,0.01,0,0.21,0.23,1263.6,1279.5,16
Fe0.792C0.000470Mn0.000411Si0.00201Cr0.0862Ni0.0980Mo0.0181V0.000111Nb0.0000607Co0.0000957Al0.00167Ti0.000589,0.01,0.04,0.1,7.95,10.2,3.08,0.01,0,0.01,0.01,0,0.08,0.05,1061.7,1079,18
Fe0.793C0.000468Mn0.000819Si0.00240Cr0.0962Ni0.0800Mo0.0190V0.000110Nb0.0000605Co0.0000954Al0.00521Ti0.00235,0.01,0.08,0.12,8.9,8.35,3.25,0.01,0,0.01,0.01,0,0.25,0.2,1169.2,1181.6,18
Fe0.794C0.000470Mn0.000617Si0.00101Cr0.0847Ni0.0981Mo0.0188V0.000111Nb0.0000608Co0.0000958Al0.00126Ti0.00118,0.01,0.06,0.05,7.8,10.2,3.2,0.01,0,0.01,0.01,0,0.06,0.1,1036.9,1054.9,19
Fe0.795C0.00141Mn0.000717Si0.000801Cr0.0963Ni0.0810Mo0.0191V0.000110Nb0.0000606Co0.0000955Al0.00313Ti0.00270,0.03,0.07,0.04,8.9,8.45,3.25,0.01,0,0.01,0.01,0,0.15,0.23,1150.6,1168.5,17
Fe0.796C0.000469Mn0.000103Si0.000201Cr0.000108Ni0.174Mo0.00587V0.000111Nb0.0000606Co0.0000956Al0.00167Ti0.0212,0.01,0.01,0.01,0.01,18.1,1,0.01,0,0.01,0.01,0,0.08,1.8,1737.2,1840.3,9
Fe0.797C0.000939Mn0.00215Si0.00381Cr0.0540Ni0.118Mo0.0175V0.000111Nb0.0000607Co0.0000957Al0.00481Ti0.00165,0.02,0.21,0.19,4.98,12.26,2.97,0.01,0,0.01,0.01,0,0.23,0.14,1194,1223.7,15
Fe0.798C0.000469Mn0.000820Si0.00100Cr0.0504Ni0.116Mo0.0184V0.000111Nb0.0000606Co0.0000955Al0.0119Ti0.00235,0.01,0.08,0.05,4.65,12.11,3.13,0.01,0,0.01,0.01,0,0.57,0.2,1390.4,1413.8,15
Fe0.799C0.000468Mn0.0256Si0.000401Cr0.000108Ni0.173Mo0.000117V0.000110Nb0.0000605Co0.0000955Al0.00104Ti0.000470,0.01,2.5,0.02,0.01,18,0.02,0.01,0,0.01,0.01,0,0.05,0.04,1471.1,1522.7,12
Fe0.799C0.000469Mn0.000513Si0.00241Cr0.0520Ni0.117Mo0.0176V0.000111Nb0.0000606Co0.0000956Al0.00835Ti0.00224,0.01,0.05,0.12,4.8,12.16,2.99,0.01,0,0.01,0.01,0,0.4,0.19,1272.6,1318.1,17.5
Fe0.799C0.000470Mn0.000103Si0.000201Cr0.000108Ni0.167Mo0.00847V0.000111Nb0.0000607Co0.0000957Al0.00167Ti0.0224,0.01,0.01,0.01,0.01,17.4,1.44,0.01,0,0.01,0.01,0,0.08,1.9,1392.4,1640.4,12
Fe0.799C0.000471Mn0.000103Si0.000201Cr0.000109Ni0.165Mo0.0118V0.000111Nb0.0000609Co0.0000960Al0.00147Ti0.0215,0.01,0.01,0.01,0.01,17.1,2,0.01,0,0.01,0.01,0,0.07,1.82,1874.6,1971.2,10
Fe0.799C0.000936Mn0.000102Si0.000200Cr0.000108Ni0.170Mo0.00375V0.000110Nb0.0000605Co0.0000954Al0.00167Ti0.0238,0.02,0.01,0.01,0.01,17.8,0.64,0.01,0,0.01,0.01,0,0.08,2.03,1730.2,1854.2,10
Fe0.800C0.000470Mn0.000616Si0.000602Cr0.0506Ni0.117Mo0.0186V0.000111Nb0.0000607Co0.0000957Al0.00982Ti0.00224,0.01,0.06,0.03,4.67,12.14,3.17,0.01,0,0.01,0.01,0,0.47,0.19,1390.4,1413.8,15
Fe0.801C0.000469Mn0.00103Si0.00361Cr0.0528Ni0.116Mo0.0175V0.000111Nb0.0000607Co0.0000957Al0.00522Ti0.00177,0.01,0.1,0.18,4.87,12.08,2.97,0.01,0,0.01,0.01,0,0.25,0.15,1230.6,1262.2,16
Fe0.801C0.000470Mn0.000205Si0.000603Cr0.0543Ni0.117Mo0.0176V0.000111Nb0.0000607Co0.0000958Al0.00648Ti0.00248,0.01,0.02,0.03,5,12.16,3,0.01,0,0.01,0.01,0,0.31,0.21,1309.8,1345.6,15
Fe0.801C0.000934Mn0.000102Si0.000200Cr0.000108Ni0.171Mo0.00175V0.000110Nb0.0000604Co0.0000952Al0.00208Ti0.0229,0.02,0.01,0.01,0.01,17.9,0.3,0.01,0,0.01,0.01,0,0.1,1.95,1674.6,1778.3,9
Fe0.801C0.000939Mn0.000821Si0.000803Cr0.0513Ni0.116Mo0.0185V0.000111Nb0.0000607Co0.0000957Al0.00794Ti0.00271,0.02,0.08,0.04,4.73,12.08,3.15,0.01,0,0.01,0.01,0,0.38,0.23,1243.6,1267.1,17
Fe0.802C0.000468Mn0.000512Si0.00120Cr0.0526Ni0.111Mo0.0173V0.000110Nb0.0000605Co0.0000954Al0.0121Ti0.00258,0.01,0.05,0.06,4.86,11.6,2.95,0.01,0,0.01,0.01,0,0.58,0.22,1437.3,1459.3,16
Fe0.802C0.000470Mn0.000308Si0.00221Cr0.0518Ni0.117Mo0.0178V0.000111Nb0.0000607Co0.0000958Al0.00544Ti0.00236,0.01,0.03,0.11,4.77,12.21,3.03,0.01,0,0.01,0.01,0,0.26,0.2,1216.8,1249.8,17
Fe0.802C0.0174Mn0.00185Si0.000201Cr0.0805Ni0.0000962Mo0.0403V0.0106Nb0.0000608Co0.0468Al0.000628,0.37,0.18,0.01,7.41,0.01,6.85,0.96,0,0.01,4.88,0,0.03,0,1784.5,2129,5
Fe0.802Mn0.000410Si0.00120Cr0.0543Ni0.114Mo0.0175V0.000111Nb0.0000607Co0.0000957Al0.00815Ti0.00236,0,0.04,0.06,5.01,11.83,2.98,0.01,0,0.01,0.01,0,0.39,0.2,1324.3,1351.8,16
Fe0.803C0.000460Mn0.000402Si0.0368Cr0.000106Ni0.157Mo0.000115V0.000108Nb0.0000594Co0.0000937Al0.00102Ti0.000923,0.01,0.04,1.87,0.01,16.7,0.02,0.01,0,0.01,0.01,0,0.05,0.08,1188.5,1223,18
Fe0.803C0.000470Mn0.000823Si0.000805Cr0.0511Ni0.117Mo0.0184V0.000111Nb0.0000608Co0.0000959Al0.00544Ti0.00224,0.01,0.08,0.04,4.7,12.2,3.13,0.01,0,0.01,0.01,0,0.26,0.19,1212.6,1244.3,18
Fe0.803C0.0168Mn0.00215Si0.000200Cr0.0834Ni0.0000957Mo0.0334V0.0127Nb0.0000605Co0.0470Al0.000625,0.36,0.21,0.01,7.72,0.01,5.71,1.15,0,0.01,4.93,0,0.03,0,1819,2135.9,6
Fe0.803C0.0174Mn0.00236Si0.000201Cr0.0779Ni0.0000960Mo0.0335V0.0122Nb0.00473Co0.0477Al0.000627,0.37,0.23,0.01,7.19,0.01,5.71,1.1,0,0.78,4.99,0,0.03,0,1340.1,1998.1,10
Fe0.803Mn0.000512Si0.00120Cr0.0520Ni0.110Mo0.0173V0.000110Nb0.0000605Co0.0000954Al0.0137Ti0.00235,0,0.05,0.06,4.81,11.5,2.95,0.01,0,0.01,0.01,0,0.66,0.2,1451.7,1494.4,16
Fe0.804C0.0166Mn0.00238Si0.000202Cr0.0782Ni0.0000969Mo0.0343V0.0114Nb0.0000612Co0.0473W0.00476Al0.000632,0.35,0.23,0.01,7.15,0.01,5.78,1.02,0,0.01,4.9,1.54,0.03,0,1688.1,2039.4,6
Fe0.805C0.000470Mn0.000719Si0.000804Cr0.0496Ni0.116Mo0.0184V0.000111Nb0.0000608Co0.0000958Al0.00711Ti0.00212,0.01,0.07,0.04,4.57,12.05,3.12,0.01,0,0.01,0.01,0,0.34,0.18,1254,1286.4,16
Fe0.806C0.000468Mn0.0176Si0.000401Cr0.000108Ni0.174Mo0.000117V0.000110Nb0.0000606Co0.0000955Al0.00104Ti0.000705,0.01,1.72,0.02,0.01,18.1,0.02,0.01,0,0.01,0.01,0,0.05,0.06,1136.9,1192,8
Fe0.806C0.0176Mn0.00181Si0.000209Cr0.0802Ni0.0000999Mo0.00153V0.0124Nb0.0000631Co0.0501W0.0293Al0.000652,0.36,0.17,0.01,7.11,0.01,0.25,1.08,0,0.01,5.03,9.18,0.03,0,1681.2,2032.6,2
Fe0.807C0.000470Mn0.000513Si0.00221Cr0.0501Ni0.116Mo0.0164V0.000111Nb0.0000607Co0.0000957Al0.00439Ti0.00236,0.01,0.05,0.11,4.62,12.08,2.79,0.01,0,0.01,0.01,0,0.21,0.2,1167.2,1220.9,17.5
Fe0.808C0.0201Mn0.00214Si0.000200Cr0.0770Ni0.0000955Mo0.0328V0.0112Nb0.0000603Co0.0475Al0.000623,0.43,0.21,0.01,7.14,0.01,5.62,1.02,0,0.01,4.99,0,0.03,0,1736.3,2039.4,6
Fe0.810C0.000940Mn0.000103Si0.000201Cr0.000109Ni0.151Mo0.0118V0.000111Nb0.0000608Co0.0000958Al0.00209Ti0.0234,0.02,0.01,0.01,0.01,15.7,2,0.01,0,0.01,0.01,0,0.1,1.98,1723.2,1847.2,10
Fe0.811C0.0182Mn0.00225Si0.000200Cr0.0755Ni0.0000957Mo0.0337V0.0119Nb0.0000605Co0.0467Al0.000625,0.39,0.22,0.01,6.99,0.01,5.75,1.08,0,0.01,4.9,0,0.03,0,1688.1,1998.1,8
Fe0.812C0.000934Mn0.000715Si0.00220Cr0.0507Ni0.0975Mo0.0181V0.000110Nb0.0000604Co0.0000952Al0.0146Ti0.00258,0.02,0.07,0.11,4.7,10.2,3.1,0.01,0,0.01,0.01,0,0.7,0.22,1420,1455.9,12
Fe0.813C0.0187Mn0.00143Si0.000200Cr0.0800Ni0.0000957Mo0.0337V0.00617Nb0.0000604Co0.0460Al0.000624,0.4,0.14,0.01,7.41,0.01,5.75,0.56,0,0.01,4.83,0,0.03,0,1805.2,2101.5,4
Fe0.814C0.000937Mn0.000717Si0.00200Cr0.0522Ni0.0977Mo0.0188V0.000110Nb0.0000605Co0.0000954Al0.0108Ti0.00282,0.02,0.07,0.1,4.83,10.2,3.2,0.01,0,0.01,0.01,0,0.52,0.24,1304.3,1338.7,14
Fe0.814C0.0169Mn0.00236Si0.000201Cr0.0710Ni0.0000960Mo0.0338V0.00951Nb0.00249Co0.0488Al0.000627,0.36,0.23,0.01,6.55,0.01,5.75,0.86,0,0.41,5.1,0,0.03,0,1653.6,1963.7,6
Fe0.816C0.000937Mn0.000102Si0.000200Cr0.000108Ni0.147Mo0.00821V0.000110Nb0.0000606Co0.0000955Al0.00250Ti0.0247,0.02,0.01,0.01,0.01,15.3,1.4,0.01,0,0.01,0.01,0,0.12,2.1,1792.2,1916.2,4
Fe0.818C0.0178Mn0.00194Si0.000200Cr0.0799Ni0.0000958Mo0.0337V0.000662Nb0.0000605Co0.0466Al0.000625,0.38,0.19,0.01,7.39,0.01,5.75,0.06,0,0.01,4.88,0,0.03,0,1564,1887.9,8
Fe0.819C0.00507Mn0.00686Si0.00493Cr0.127Ni0.0225Mo0.0102V0.00359N0.000791Nb0.0000596Co0.0000940Al0.000616,0.11,0.68,0.25,11.9,2.38,1.76,0.33,0.02,0.01,0.01,0,0.03,0,1021,1128.8,23.6
Fe0.819C0.0150Mn0.00236Si0.000201Cr0.0716Ni0.0000960Mo0.0338V0.0102Nb0.0000606Co0.0468Al0.000626,0.32,0.23,0.01,6.61,0.01,5.75,0.92,0,0.01,4.9,0,0.03,0,1681.2,1984.3,8
Fe0.822C0.000470Mn0.000616Si0.00161Cr0.0512Ni0.0971Mo0.0184V0.000111Nb0.0000607Co0.0000957Al0.00523Ti0.00271,0.01,0.06,0.08,4.72,10.1,3.13,0.01,0,0.01,0.01,0,0.25,0.23,1172,1198.2,16
Fe0.823C0.0176Mn0.00183Si0.000198Cr0.0779Ni0.0000949Mo0.0219V0.0105Nb0.0000600Co0.0463Al0.000620,0.38,0.18,0.01,7.27,0.01,3.77,0.96,0,0.01,4.9,0,0.03,0,1722.5,1998.1,5
Fe0.823Mn0.000618Si0.00101Cr0.0561Ni0.0984Mo0.0189V0.000111Nb0.0000609Co0.0000961Al0.000629Ti0.00106,0,0.06,0.05,5.15,10.2,3.2,0.01,0,0.01,0.01,0,0.03,0.09,1019,1019,19
Fe0.825C0.0174Mn0.00175Si0.000201Cr0.0565Ni0.0000963Mo0.0344V0.0116Nb0.00554Co0.0468Al0.000628,0.37,0.17,0.01,5.2,0.01,5.84,1.05,0,0.91,4.88,0,0.03,0,1860.3,2156.6,3
Fe0.858C0.0191Mn0.00194Si0.000199Cr0.0753Ni0.0000954Mo0.0341V0.0101Nb0.0000603Co0.000190Al0.000623,0.41,0.19,0.01,6.99,0.01,5.84,0.92,0,0.01,0.02,0,0.03,0,1812.1,2087.7,2
Fe0.860C0.0125Mn0.00274Si0.000198Cr0.00439Ni0.0786Mo0.00284V0.000765Nb0.0000600Co0.0369Al0.000619,0.27,0.27,0.01,0.41,8.28,0.49,0.07,0,0.01,3.9,0,0.03,0,1139.7,1236.3,15.4